"timeframe","Psa2012","psa2012_nf","start_date","end_date","PctUnemployed","Pct16andOverEmployed","PctUnemployed_m","Pct16andOverEmployed_m","indc"
1990,"PSA 503",503,"01JAN1990","31DEC1990",8.7,52,".",".",1
1990,"PSA 504",504,"01JAN1990","31DEC1990",7.1,60,".",".",1
1990,"PSA 505",505,"01JAN1990","31DEC1990",13,47,".",".",1
1990,"PSA 506",506,"01JAN1990","31DEC1990",10,53,".",".",1
1990,"PSA 507",507,"01JAN1990","31DEC1990",10.0,55,".",".",1
1990,"PSA 601",601,"01JAN1990","31DEC1990",9.9,52,".",".",1
1990,"PSA 602",602,"01JAN1990","31DEC1990",10,52,".",".",1
1990,"PSA 603",603,"01JAN1990","31DEC1990",7.2,60,".",".",1
1990,"PSA 604",604,"01JAN1990","31DEC1990",11,55,".",".",1
1990,"PSA 605",605,"01JAN1990","31DEC1990",5.1,62,".",".",1
1990,"PSA 606",606,"01JAN1990","31DEC1990",3.0,68,".",".",1
1990,"PSA 607",607,"01JAN1990","31DEC1990",8.4,67,".",".",1
1990,"PSA 608",608,"01JAN1990","31DEC1990",10,52,".",".",1
1990,"PSA 701",701,"01JAN1990","31DEC1990",11,57,".",".",1
1990,"PSA 702",702,"01JAN1990","31DEC1990",14,46,".",".",1
1990,"PSA 703",703,"01JAN1990","31DEC1990",15,40,".",".",1
1990,"PSA 704",704,"01JAN1990","31DEC1990",16,51,".",".",1
1990,"PSA 705",705,"01JAN1990","31DEC1990",14,59,".",".",1
1990,"PSA 706",706,"01JAN1990","31DEC1990",17,51,".",".",1
1990,"PSA 707",707,"01JAN1990","31DEC1990",9.5,72,".",".",1
1990,"PSA 708",708,"01JAN1990","31DEC1990",10,62,".",".",1

