"timeframe","ward2012","NumOccupiedHsgUnits","NumOccupiedHsgUnits_m","ward2012_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","MedianMrtgInc1_4m","NumMrtgOrigHomePurchPerUnit","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","permits","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","MedianMrtgInc1_4m_adj","indc"
2012,"Ward 3","X",".",3,"01JAN2012","31DEC2012","X","X","X","X","X",930000,533,189996.70,82,0.1,3.0,0.1,3.0,4933,".",".",".",".",1
2013,"Ward 3","X",".",3,"01JAN2013","31DEC2013","X","X","X","X","X",990000,548,185529.61,81,0.0,1.0,0.1,2.0,5181,".",".",".",".",1
2014,"Ward 3","X",".",3,"01JAN2014","31DEC2014","X","X","X","X","X",1047500,468,203459.26,73,".",".",".",".",5622,".",".",".",".",1
2015,"Ward 3","X",".",3,"01JAN2015","31DEC2015","X","X","X","X","X",1090000,525,205024.24,77,".",".",".",".",5500,".",".",".",".",1
2016,"Ward 3","X",".",3,"01JAN2016","31DEC2016","X","X","X","X","X",1172500,496,212006.59,81,".",".",".",".",5174,".",".",".",".",1
2017,"Ward 3","X",".",3,"01JAN2017","31DEC2017","X","X","X","X","X",1200000,509,222552.40,82,".",".",".",".",5602,".",".",".",".",1
2018,"Ward 3","X",".",3,"01JAN2018","31DEC2018","X","X","X","X","X",1190000,503,219355.78,39,".",".",".",".",5380,".",".",".",".",1
2019,"Ward 3","X",".",3,"01JAN2019","31DEC2019","X","X","X","X","X",1243611,520,".",".",".",".",".",".",".",".",".",".",".",1
1995,"Ward 4","X",".",4,"01JAN1995","31DEC1995","X","X","X","X","X",130750,622,".",".",9.8,194,3.2,63,".",".",".",".",".",1
1996,"Ward 4","X",".",4,"01JAN1996","31DEC1996","X","X","X","X","X",130000,644,".",".",11,225,2.8,56,".",".",".",".",".",1
1997,"Ward 4","X",".",4,"01JAN1997","31DEC1997","X","X","X","X","X",135600,766,60507.92,26,19,373,5.7,113,".",".",".",".",".",1
1998,"Ward 4","X",".",4,"01JAN1998","31DEC1998","X","X","X","X","X",134750,1004,61019.64,31,19,381,6.8,135,".",".",".",".",".",1
1999,"Ward 4","X",".",4,"01JAN1999","31DEC1999","X","X","X","X","X",143381,956,66776.08,34,18,355,7.6,152,".",".",".",".",".",1
2000,"Ward 4","X",".",4,"01JAN2000","31DEC2000","X","X","X","X","X",157000,737,74146.48,33,15,292,5.0,99,".",".",".",".",".",1
2001,"Ward 4","X",".",4,"01JAN2001","31DEC2001","X","X","X","X","X",175775,754,81579.27,34,13,265,3.8,76,".",".",".",".",".",1
2002,"Ward 4","X",".",4,"01JAN2002","31DEC2002","X","X","X","X","X",230000,794,84542.96,35,15,292,2.5,50,".",".",".",".",".",1
2003,"Ward 4","X",".",4,"01JAN2003","31DEC2003","X","X","X","X","X",293000,760,93011.43,36,14,284,0.5,10,".",".",".",".",".",1
