"timeframe","Zip","NumOccupiedHsgUnits","zip_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","MedianMrtgInc1_4m_adj","NumMrtgOrigHomePurchPerUnit","PctSubprimeConvOrigHomePur","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","indc"
2000,"ZIP 20001",".",20001,"01JAN2000","31DEC2000",".",".",".",".",".",129500,331,103645,82,0.1,36,158,16,70,".",".",".",1
2001,"ZIP 20001",".",20001,"01JAN2001","31DEC2001",".",".",".",".",".",150000,341,102088,89,0.1,21,95,11,49,".",".",".",1
2002,"ZIP 20001",".",20001,"01JAN2002","31DEC2002",".",".",".",".",".",215000,361,112517,149,0.1,22,97,6.9,31,".",".",".",1
2003,"ZIP 20001",".",20001,"01JAN2003","31DEC2003",".",".",".",".",".",280000,370,118992,207,0.1,17,79,0.7,3.0,".",".",".",1
2004,"ZIP 20001",".",20001,"01JAN2004","31DEC2004",".",".",".",".",".",347000,348,123949,173,0.1,13,68,1.3,7.0,".",".",".",1
2005,"ZIP 20001",".",20001,"01JAN2005","31DEC2005",".",".",".",".",".",430000,291,123949,173,0.1,7.3,44,1.2,7.0,".",".",".",1
2006,"ZIP 20001",".",20001,"01JAN2006","31DEC2006",".",".",".",".",".",471000,187,123949,173,0.1,8.2,55,0.7,5.0,".",".",".",1
2007,"ZIP 20001",".",20001,"01JAN2007","31DEC2007",".",".",".",".",".",455000,147,123949,173,0.1,24,169,6.3,45,".",".",".",1
2008,"ZIP 20001",".",20001,"01JAN2008","31DEC2008",".",".",".",".",".",415000,123,123949,173,0.1,26,214,10,86,".",".",".",1
2009,"ZIP 20001",".",20001,"01JAN2009","31DEC2009",".",".",".",".",".",439450,102,123949,173,0.1,35,287,8.4,70,".",".",".",1
2010,"ZIP 20001",".",20001,"01JAN2010","31DEC2010",".",".",".",".",".",419250,126,123949,173,0.1,24,215,6.0,54,".",".",".",1
2011,"ZIP 20001",".",20001,"01JAN2011","31DEC2011",".",".",".",".",".",467620,153,123949,173,0.1,1.2,11,1.5,14,".",".",".",1
2012,"ZIP 20001",".",20001,"01JAN2012","31DEC2012",".",".",".",".",".",510000,193,123949,173,0.1,0.4,4.0,0.2,2.0,".",".",".",1
