"timeframe","Geo2010","NumOccupiedHsgUnits","geo2010_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","MedianMrtgInc1_4m_adj","NumMrtgOrigHomePurchPerUnit","PctSubprimeConvOrigHomePur","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","indc"
"2012-16","DC Tract 75.04",1084.00,11001007504,"01JAN2011","31DEC2015",".",14.1566,21.125,6.657,6.422,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 76.01",2030.00,11001007601,"01JAN2011","31DEC2015",".",9.6591,37.340,4.979,5.207,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 76.03",2108.00,11001007603,"01JAN2011","31DEC2015",".",13.7108,39.991,9.236,7.663,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 76.04",1809.00,11001007604,"01JAN2011","31DEC2015",".",11.7066,30.790,5.954,5.640,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 76.05",1621.00,11001007605,"01JAN2011","31DEC2015",".",9.6061,19.309,4.756,4.365,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 77.03",2238.00,11001007703,"01JAN2011","31DEC2015",".",3.3438,17.337,3.801,6.191,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 77.07",1539.00,11001007707,"01JAN2011","31DEC2015",".",10.0307,42.885,6.736,6.123,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 77.08",1179.00,11001007708,"01JAN2011","31DEC2015",".",9.0328,15.437,6.116,5.651,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 77.09",1035.00,11001007709,"01JAN2011","31DEC2015",".",4.8860,15.362,3.880,4.191,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 78.03",1636.00,11001007803,"01JAN2011","31DEC2015",".",3.3597,40.220,4.218,7.104,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 78.04",1215.00,11001007804,"01JAN2011","31DEC2015",".",10.7100,38.930,8.229,8.678,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 78.06",878.00,11001007806,"01JAN2011","31DEC2015",".",2.8125,29.157,4.359,5.641,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 78.07",899.00,11001007807,"01JAN2011","31DEC2015",".",5.4007,39.600,5.703,7.428,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 78.08",1366.00,11001007808,"01JAN2011","31DEC2015",".",14.4578,48.023,9.385,7.116,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 78.09",1241.00,11001007809,"01JAN2011","31DEC2015",".",6.6890,55.036,7.218,8.458,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 79.01",1547.00,11001007901,"01JAN2011","31DEC2015",".",19.8269,34.131,7.827,6.295,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 79.03",796.00,11001007903,"01JAN2011","31DEC2015",".",16.5079,66.960,9.808,6.297,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 80.01",1293.00,11001008001,"01JAN2011","31DEC2015",".",2.2670,69.992,3.476,5.862,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 80.02",1540.00,11001008002,"01JAN2011","31DEC2015",".",7.0492,63.182,7.605,5.856,".",".",".",".",".",".",".",".",".",".",".",".",1
