"start_date","end_date","Geo2010","timeframe","GEO2010_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","ucounty","indc"
"01JAN2001","31DEC2001","MD Tract 033 8006.01",2001,24033800601,".",".","Prince George's",0
"01JAN2002","31DEC2002","MD Tract 033 8006.01",2002,24033800601,".",".","Prince George's",0
"01JAN2003","31DEC2003","MD Tract 033 8006.01",2003,24033800601,".",".","Prince George's",0
"01JAN2004","31DEC2004","MD Tract 033 8006.01",2004,24033800601,".",".","Prince George's",0
"01JAN2005","31DEC2005","MD Tract 033 8006.01",2005,24033800601,".",".","Prince George's",0
"01JAN2006","31DEC2006","MD Tract 033 8006.01",2006,24033800601,".",".","Prince George's",0
"01JAN2007","31DEC2007","MD Tract 033 8006.01",2007,24033800601,".",".","Prince George's",0
"01JAN2008","31DEC2008","MD Tract 033 8006.01",2008,24033800601,".",".","Prince George's",0
"01JAN2009","31DEC2009","MD Tract 033 8006.01",2009,24033800601,".",".","Prince George's",0
"01JAN2010","31DEC2010","MD Tract 033 8006.01",2010,24033800601,".",".","Prince George's",0
"01JAN2011","31DEC2011","MD Tract 033 8006.01",2011,24033800601,".",".","Prince George's",0
"01JAN2012","31DEC2012","MD Tract 033 8006.01",2012,24033800601,".",".","Prince George's",0
"01JAN2013","31DEC2013","MD Tract 033 8006.01",2013,24033800601,".",".","Prince George's",0
"01JAN2014","31DEC2014","MD Tract 033 8006.01",2014,24033800601,".",".","Prince George's",0
"01JAN2015","31DEC2015","MD Tract 033 8006.01",2015,24033800601,".",".","Prince George's",0
"01JAN2016","31DEC2016","MD Tract 033 8006.01",2016,24033800601,".",".","Prince George's",0
"01JAN2000","31DEC2000","MD Tract 033 8006.04",2000,24033800604,".",".","Prince George's",0
"01JAN2001","31DEC2001","MD Tract 033 8006.04",2001,24033800604,".",".","Prince George's",0
"01JAN2002","31DEC2002","MD Tract 033 8006.04",2002,24033800604,".",".","Prince George's",0
"01JAN2003","31DEC2003","MD Tract 033 8006.04",2003,24033800604,".",".","Prince George's",0
"01JAN2004","31DEC2004","MD Tract 033 8006.04",2004,24033800604,".",".","Prince George's",0
"01JAN2005","31DEC2005","MD Tract 033 8006.04",2005,24033800604,".",".","Prince George's",0
"01JAN2006","31DEC2006","MD Tract 033 8006.04",2006,24033800604,".",".","Prince George's",0
"01JAN2007","31DEC2007","MD Tract 033 8006.04",2007,24033800604,".",".","Prince George's",0
"01JAN2008","31DEC2008","MD Tract 033 8006.04",2008,24033800604,".",".","Prince George's",0
"01JAN2009","31DEC2009","MD Tract 033 8006.04",2009,24033800604,".",".","Prince George's",0
"01JAN2010","31DEC2010","MD Tract 033 8006.04",2010,24033800604,".",".","Prince George's",0
"01JAN2011","31DEC2011","MD Tract 033 8006.04",2011,24033800604,".",".","Prince George's",0
"01JAN2012","31DEC2012","MD Tract 033 8006.04",2012,24033800604,".",".","Prince George's",0
"01JAN2013","31DEC2013","MD Tract 033 8006.04",2013,24033800604,".",".","Prince George's",0
"01JAN2014","31DEC2014","MD Tract 033 8006.04",2014,24033800604,".",".","Prince George's",0
"01JAN2015","31DEC2015","MD Tract 033 8006.04",2015,24033800604,".",".","Prince George's",0
"01JAN2016","31DEC2016","MD Tract 033 8006.04",2016,24033800604,".",".","Prince George's",0
"01JAN2000","31DEC2000","MD Tract 033 8006.05",2000,24033800605,".",".","Prince George's",0
"01JAN2001","31DEC2001","MD Tract 033 8006.05",2001,24033800605,".",".","Prince George's",0
"01JAN2002","31DEC2002","MD Tract 033 8006.05",2002,24033800605,".",".","Prince George's",0
"01JAN2003","31DEC2003","MD Tract 033 8006.05",2003,24033800605,".",".","Prince George's",0
"01JAN2004","31DEC2004","MD Tract 033 8006.05",2004,24033800605,".",".","Prince George's",0
"01JAN2005","31DEC2005","MD Tract 033 8006.05",2005,24033800605,".",".","Prince George's",0
"01JAN2006","31DEC2006","MD Tract 033 8006.05",2006,24033800605,".",".","Prince George's",0
"01JAN2007","31DEC2007","MD Tract 033 8006.05",2007,24033800605,".",".","Prince George's",0
"01JAN2008","31DEC2008","MD Tract 033 8006.05",2008,24033800605,".",".","Prince George's",0
"01JAN2009","31DEC2009","MD Tract 033 8006.05",2009,24033800605,".",".","Prince George's",0
"01JAN2010","31DEC2010","MD Tract 033 8006.05",2010,24033800605,".",".","Prince George's",0
"01JAN2011","31DEC2011","MD Tract 033 8006.05",2011,24033800605,".",".","Prince George's",0
"01JAN2012","31DEC2012","MD Tract 033 8006.05",2012,24033800605,".",".","Prince George's",0
"01JAN2013","31DEC2013","MD Tract 033 8006.05",2013,24033800605,".",".","Prince George's",0
"01JAN2014","31DEC2014","MD Tract 033 8006.05",2014,24033800605,".",".","Prince George's",0
"01JAN2015","31DEC2015","MD Tract 033 8006.05",2015,24033800605,".",".","Prince George's",0
"01JAN2016","31DEC2016","MD Tract 033 8006.05",2016,24033800605,".",".","Prince George's",0
"01JAN2000","31DEC2000","MD Tract 033 8006.06",2000,24033800606,".",".","Prince George's",0
"01JAN2001","31DEC2001","MD Tract 033 8006.06",2001,24033800606,".",".","Prince George's",0
"01JAN2002","31DEC2002","MD Tract 033 8006.06",2002,24033800606,".",".","Prince George's",0
"01JAN2003","31DEC2003","MD Tract 033 8006.06",2003,24033800606,".",".","Prince George's",0
"01JAN2004","31DEC2004","MD Tract 033 8006.06",2004,24033800606,".",".","Prince George's",0
"01JAN2005","31DEC2005","MD Tract 033 8006.06",2005,24033800606,".",".","Prince George's",0
"01JAN2006","31DEC2006","MD Tract 033 8006.06",2006,24033800606,".",".","Prince George's",0
"01JAN2007","31DEC2007","MD Tract 033 8006.06",2007,24033800606,".",".","Prince George's",0
"01JAN2008","31DEC2008","MD Tract 033 8006.06",2008,24033800606,".",".","Prince George's",0
"01JAN2009","31DEC2009","MD Tract 033 8006.06",2009,24033800606,".",".","Prince George's",0
"01JAN2010","31DEC2010","MD Tract 033 8006.06",2010,24033800606,".",".","Prince George's",0
"01JAN2011","31DEC2011","MD Tract 033 8006.06",2011,24033800606,".",".","Prince George's",0
"01JAN2012","31DEC2012","MD Tract 033 8006.06",2012,24033800606,".",".","Prince George's",0
"01JAN2013","31DEC2013","MD Tract 033 8006.06",2013,24033800606,".",".","Prince George's",0
"01JAN2014","31DEC2014","MD Tract 033 8006.06",2014,24033800606,".",".","Prince George's",0
"01JAN2015","31DEC2015","MD Tract 033 8006.06",2015,24033800606,".",".","Prince George's",0
"01JAN2016","31DEC2016","MD Tract 033 8006.06",2016,24033800606,".",".","Prince George's",0
"01JAN2000","31DEC2000","MD Tract 033 8006.07",2000,24033800607,".",".","Prince George's",0
"01JAN2001","31DEC2001","MD Tract 033 8006.07",2001,24033800607,".",".","Prince George's",0
"01JAN2002","31DEC2002","MD Tract 033 8006.07",2002,24033800607,".",".","Prince George's",0
"01JAN2003","31DEC2003","MD Tract 033 8006.07",2003,24033800607,".",".","Prince George's",0
"01JAN2004","31DEC2004","MD Tract 033 8006.07",2004,24033800607,".",".","Prince George's",0
"01JAN2005","31DEC2005","MD Tract 033 8006.07",2005,24033800607,".",".","Prince George's",0
"01JAN2006","31DEC2006","MD Tract 033 8006.07",2006,24033800607,".",".","Prince George's",0
"01JAN2007","31DEC2007","MD Tract 033 8006.07",2007,24033800607,".",".","Prince George's",0
"01JAN2008","31DEC2008","MD Tract 033 8006.07",2008,24033800607,".",".","Prince George's",0
