"start_date","end_date","Zip","timeframe","ZIP_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2014","31DEC2014","ZIP 20010",2014,20010,67,8.7,1
"01JAN2015","31DEC2015","ZIP 20010",2015,20010,67,11,1
"01JAN2016","31DEC2016","ZIP 20010",2016,20010,54,8.1,1
"01JAN2000","31DEC2000","ZIP 20011",2000,20011,38,10,1
"01JAN2001","31DEC2001","ZIP 20011",2001,20011,37,8.6,1
"01JAN2002","31DEC2002","ZIP 20011",2002,20011,44,11,1
"01JAN2003","31DEC2003","ZIP 20011",2003,20011,38,14,1
"01JAN2004","31DEC2004","ZIP 20011",2004,20011,34,12,1
"01JAN2005","31DEC2005","ZIP 20011",2005,20011,32,11,1
"01JAN2006","31DEC2006","ZIP 20011",2006,20011,28,11,1
"01JAN2007","31DEC2007","ZIP 20011",2007,20011,31,14,1
"01JAN2008","31DEC2008","ZIP 20011",2008,20011,29,12,1
"01JAN2009","31DEC2009","ZIP 20011",2009,20011,28,12,1
"01JAN2010","31DEC2010","ZIP 20011",2010,20011,28,11,1
"01JAN2011","31DEC2011","ZIP 20011",2011,20011,28,8.1,1
"01JAN2012","31DEC2012","ZIP 20011",2012,20011,30,10,1
"01JAN2013","31DEC2013","ZIP 20011",2013,20011,34,9.5,1
"01JAN2014","31DEC2014","ZIP 20011",2014,20011,40,9.1,1
"01JAN2015","31DEC2015","ZIP 20011",2015,20011,37,9.4,1
"01JAN2016","31DEC2016","ZIP 20011",2016,20011,33,6.9,1
"01JAN2000","31DEC2000","ZIP 20012",2000,20012,41,8.1,1
"01JAN2001","31DEC2001","ZIP 20012",2001,20012,49,7.2,1
"01JAN2002","31DEC2002","ZIP 20012",2002,20012,47,9.6,1
"01JAN2003","31DEC2003","ZIP 20012",2003,20012,47,12,1
"01JAN2004","31DEC2004","ZIP 20012",2004,20012,41,11,1
"01JAN2005","31DEC2005","ZIP 20012",2005,20012,39,8.7,1
"01JAN2006","31DEC2006","ZIP 20012",2006,20012,30,9.4,1
"01JAN2007","31DEC2007","ZIP 20012",2007,20012,36,12,1
"01JAN2008","31DEC2008","ZIP 20012",2008,20012,38,9.7,1
"01JAN2009","31DEC2009","ZIP 20012",2009,20012,38,9.6,1
"01JAN2010","31DEC2010","ZIP 20012",2010,20012,38,6.8,1
"01JAN2011","31DEC2011","ZIP 20012",2011,20012,39,6.3,1
"01JAN2012","31DEC2012","ZIP 20012",2012,20012,40,6.8,1
"01JAN2013","31DEC2013","ZIP 20012",2013,20012,40,7.4,1
"01JAN2014","31DEC2014","ZIP 20012",2014,20012,58,5.2,1
