"start_date","end_date","Cluster_tr2000","timeframe","CLUSTER_TR2000_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2002","31DEC2002","Cluster 16",2002,16,42.590,2.4907,1
"01JAN2003","31DEC2003","Cluster 16",2003,16,45.160,5.2395,1
"01JAN2004","31DEC2004","Cluster 16",2004,16,28.243,4.2489,1
"01JAN2005","31DEC2005","Cluster 16",2005,16,31.047,5.2579,1
"01JAN2006","31DEC2006","Cluster 16",2006,16,27.346,5.2684,1
"01JAN2007","31DEC2007","Cluster 16",2007,16,35.185,6.0317,1
"01JAN2008","31DEC2008","Cluster 16",2008,16,35.247,6.7976,1
"01JAN2009","31DEC2009","Cluster 16",2009,16,43.643,3.0272,1
"01JAN2010","31DEC2010","Cluster 16",2010,16,34.875,4.8016,1
"01JAN2011","31DEC2011","Cluster 16",2011,16,33.864,2.7799,1
"01JAN2012","31DEC2012","Cluster 16",2012,16,49.532,5.5598,1
"01JAN2013","31DEC2013","Cluster 16",2013,16,38.413,5.3071,1
"01JAN2014","31DEC2014","Cluster 16",2014,16,56.103,3.5380,1
"01JAN2015","31DEC2015","Cluster 16",2015,16,44.731,3.0326,1
"01JAN2016","31DEC2016","Cluster 16",2016,16,34.117,5.3071,1
"01JAN2000","31DEC2000","Cluster 17",2000,17,39.043,9.1101,1
"01JAN2001","31DEC2001","Cluster 17",2001,17,43.415,7.6044,1
"01JAN2002","31DEC2002","Cluster 17",2002,17,47.897,11.1564,1
"01JAN2003","31DEC2003","Cluster 17",2003,17,43.638,14.3505,1
"01JAN2004","31DEC2004","Cluster 17",2004,17,37.247,11.9382,1
"01JAN2005","31DEC2005","Cluster 17",2005,17,35.571,10.3969,1
"01JAN2006","31DEC2006","Cluster 17",2006,17,27.193,10.2893,1
"01JAN2007","31DEC2007","Cluster 17",2007,17,31.069,13.2630,1
"01JAN2008","31DEC2008","Cluster 17",2008,17,34.282,9.9210,1
"01JAN2009","31DEC2009","Cluster 17",2009,17,31.311,11.0571,1
"01JAN2010","31DEC2010","Cluster 17",2010,17,32.125,7.7101,1
"01JAN2011","31DEC2011","Cluster 17",2011,17,33.513,7.5559,1
"01JAN2012","31DEC2012","Cluster 17",2012,17,31.149,9.2007,1
"01JAN2013","31DEC2013","Cluster 17",2013,17,37.882,7.4017,1
"01JAN2014","31DEC2014","Cluster 17",2014,17,55.204,6.3737,1
"01JAN2015","31DEC2015","Cluster 17",2015,17,50.321,8.2755,1
"01JAN2016","31DEC2016","Cluster 17",2016,17,40.298,6.4765,1
"01JAN2000","31DEC2000","Cluster 18",2000,18,41.419,11.7758,1
"01JAN2001","31DEC2001","Cluster 18",2001,18,37.784,9.4906,1
"01JAN2002","31DEC2002","Cluster 18",2002,18,45.973,12.0393,1
"01JAN2003","31DEC2003","Cluster 18",2003,18,38.134,14.5030,1
"01JAN2004","31DEC2004","Cluster 18",2004,18,35.865,13.1616,1
"01JAN2005","31DEC2005","Cluster 18",2005,18,34.665,12.7088,1
"01JAN2006","31DEC2006","Cluster 18",2006,18,30.746,12.1570,1
"01JAN2007","31DEC2007","Cluster 18",2007,18,33.965,14.9810,1
"01JAN2008","31DEC2008","Cluster 18",2008,18,30.212,14.0502,1
"01JAN2009","31DEC2009","Cluster 18",2009,18,30.385,13.3735,1
"01JAN2010","31DEC2010","Cluster 18",2010,18,31.360,12.8494,1
"01JAN2011","31DEC2011","Cluster 18",2011,18,31.184,9.0923,1
"01JAN2012","31DEC2012","Cluster 18",2012,18,33.013,11.2714,1
"01JAN2013","31DEC2013","Cluster 18",2013,18,38.298,11.2714,1
"01JAN2014","31DEC2014","Cluster 18",2014,18,41.203,10.4198,1
"01JAN2015","31DEC2015","Cluster 18",2015,18,36.795,9.8187,1
"01JAN2016","31DEC2016","Cluster 18",2016,18,32.562,7.5393,1
"01JAN2000","31DEC2000","Cluster 19",2000,19,26.266,5.8828,1
"01JAN2001","31DEC2001","Cluster 19",2001,19,36.937,7.0590,1
"01JAN2002","31DEC2002","Cluster 19",2002,19,37.411,6.9941,1
"01JAN2003","31DEC2003","Cluster 19",2003,19,35.778,13.9404,1
"01JAN2004","31DEC2004","Cluster 19",2004,19,35.851,7.6653,1
"01JAN2005","31DEC2005","Cluster 19",2005,19,29.435,8.9413,1
"01JAN2006","31DEC2006","Cluster 19",2006,19,23.214,10.3521,1
"01JAN2007","31DEC2007","Cluster 19",2007,19,26.273,9.8717,1
"01JAN2008","31DEC2008","Cluster 19",2008,19,26.350,9.0916,1
"01JAN2009","31DEC2009","Cluster 19",2009,19,23.755,10.0825,1
"01JAN2010","31DEC2010","Cluster 19",2010,19,26.200,6.4365,1
"01JAN2011","31DEC2011","Cluster 19",2011,19,23.247,6.0579,1
"01JAN2012","31DEC2012","Cluster 19",2012,19,25.973,5.5278,1
"01JAN2013","31DEC2013","Cluster 19",2013,19,21.657,5.4521,1
"01JAN2014","31DEC2014","Cluster 19",2014,19,30.441,6.5122,1
"01JAN2015","31DEC2015","Cluster 19",2015,19,28.018,7.3451,1
"01JAN2016","31DEC2016","Cluster 19",2016,19,29.002,5.3006,1
"01JAN2000","31DEC2000","Cluster 20",2000,20,27.987,7.1011,1
"01JAN2001","31DEC2001","Cluster 20",2001,20,33.032,7.8898,1
