"start_date","end_date","anc2012","timeframe","anc2012_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2019","31DEC2019","ANC 3B",2019,"3B",16,0.9,1
"01JAN2000","31DEC2000","ANC 3C",2000,"3C",40,3.0,1
"01JAN2001","31DEC2001","ANC 3C",2001,"3C",33,4.6,1
"01JAN2002","31DEC2002","ANC 3C",2002,"3C",30,3.3,1
"01JAN2003","31DEC2003","ANC 3C",2003,"3C",35,2.1,1
"01JAN2004","31DEC2004","ANC 3C",2004,"3C",26,2.5,1
"01JAN2005","31DEC2005","ANC 3C",2005,"3C",24,2.5,1
"01JAN2006","31DEC2006","ANC 3C",2006,"3C",22,2.1,1
"01JAN2007","31DEC2007","ANC 3C",2007,"3C",21,2.1,1
"01JAN2008","31DEC2008","ANC 3C",2008,"3C",24,2.1,1
"01JAN2009","31DEC2009","ANC 3C",2009,"3C",28,2.0,1
"01JAN2010","31DEC2010","ANC 3C",2010,"3C",23,2.2,1
"01JAN2011","31DEC2011","ANC 3C",2011,"3C",24,2.3,1
"01JAN2012","31DEC2012","ANC 3C",2012,"3C",23,1.6,1
"01JAN2013","31DEC2013","ANC 3C",2013,"3C",19,1.2,1
"01JAN2014","31DEC2014","ANC 3C",2014,"3C",20,1.4,1
"01JAN2015","31DEC2015","ANC 3C",2015,"3C",22,1.1,1
"01JAN2016","31DEC2016","ANC 3C",2016,"3C",21,1.2,1
"01JAN2017","31DEC2017","ANC 3C",2017,"3C",18,1.1,1
"01JAN2018","31DEC2018","ANC 3C",2018,"3C",25,0.6,1
"01JAN2019","31DEC2019","ANC 3C",2019,"3C",26,1.1,1
"01JAN2000","31DEC2000","ANC 3D",2000,"3D",21,0.9,1
"01JAN2001","31DEC2001","ANC 3D",2001,"3D",18,1.2,1
"01JAN2002","31DEC2002","ANC 3D",2002,"3D",16,1.0,1
"01JAN2003","31DEC2003","ANC 3D",2003,"3D",17,0.5,1
"01JAN2004","31DEC2004","ANC 3D",2004,"3D",13,0.6,1
"01JAN2005","31DEC2005","ANC 3D",2005,"3D",13,0.6,1
"01JAN2006","31DEC2006","ANC 3D",2006,"3D",11,0.8,1
"01JAN2007","31DEC2007","ANC 3D",2007,"3D",12,0.6,1
"01JAN2008","31DEC2008","ANC 3D",2008,"3D",13,0.4,1
"01JAN2009","31DEC2009","ANC 3D",2009,"3D",14,0.5,1
"01JAN2010","31DEC2010","ANC 3D",2010,"3D",15,0.5,1
"01JAN2011","31DEC2011","ANC 3D",2011,"3D",12,0.5,1
"01JAN2012","31DEC2012","ANC 3D",2012,"3D",11,0.5,1
"01JAN2013","31DEC2013","ANC 3D",2013,"3D",13,0.3,1
"01JAN2014","31DEC2014","ANC 3D",2014,"3D",11,0.2,1
"01JAN2015","31DEC2015","ANC 3D",2015,"3D",11,0.5,1
"01JAN2016","31DEC2016","ANC 3D",2016,"3D",11,0.6,1
"01JAN2017","31DEC2017","ANC 3D",2017,"3D",9.9,0.5,1
"01JAN2018","31DEC2018","ANC 3D",2018,"3D",16,0.2,1
"01JAN2019","31DEC2019","ANC 3D",2019,"3D",12,0.6,1
"01JAN2000","31DEC2000","ANC 3E",2000,"3E",65,6.6,1
"01JAN2001","31DEC2001","ANC 3E",2001,"3E",56,7.0,1
"01JAN2002","31DEC2002","ANC 3E",2002,"3E",56,6.0,1
