"start_date","end_date","geo2010","timeframe","geo2010_nf","Pct_births_low_wt","Pct_births_teen","ucounty","indc"
"01JAN2016","31DEC2016","DC Tract 35",2016,11001003500,12,7.0,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 36",2003,11001003600,7.2,7.2,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 36",2004,11001003600,10,11,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 36",2005,11001003600,10,3.4,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 36",2006,11001003600,20,13,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 36",2007,11001003600,9.7,9.7,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 36",2008,11001003600,6.1,13,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 36",2009,11001003600,11,6.9,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 36",2010,11001003600,12,11,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 36",2011,11001003600,7.9,0.0,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 36",2012,11001003600,11,5.7,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 36",2013,11001003600,14,3.1,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 36",2014,11001003600,6.3,2.5,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 36",2015,11001003600,1.3,0.0,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 36",2016,11001003600,4.2,2.8,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 37",2003,11001003700,12,3.5,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 37",2004,11001003700,11,8.9,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 37",2005,11001003700,16,9.8,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 37",2006,11001003700,8.6,16,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 37",2007,11001003700,12,18,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 37",2008,11001003700,8.0,16,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 37",2009,11001003700,6.7,9.6,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 37",2010,11001003700,6.8,7.8,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 37",2011,11001003700,6.0,6.0,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 37",2012,11001003700,3.3,12,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 37",2013,11001003700,12,3.8,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 37",2014,11001003700,6.3,6.3,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 37",2015,11001003700,9.8,4.9,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 37",2016,11001003700,13,5.3,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 38",2003,11001003800,9.1,5.5,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 38",2004,11001003800,5.6,7.4,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 38",2005,11001003800,4.0,6.0,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 38",2006,11001003800,7.1,13,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 38",2007,11001003800,8.1,11,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 38",2008,11001003800,15,8.8,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 38",2009,11001003800,7.8,7.8,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 38",2010,11001003800,5.1,3.3,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 38",2011,11001003800,15,6.1,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 38",2012,11001003800,4.4,4.4,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 38",2013,11001003800,6.5,3.2,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 38",2014,11001003800,9.1,1.5,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 38",2015,11001003800,5.6,1.1,"District of Columbia",1
