start_date,end_date,cluster2017,timeframe,cluster2017_nf,Pct_births_low_wt,Pct_births_teen,indc
1-Jan-10,31-Dec-10,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2010,Cluster 8,8.7,6.3,1
1-Jan-11,31-Dec-11,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2011,Cluster 8,8.8,7.2,1
1-Jan-98,31-Dec-98,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",1998,Cluster 9,16,14,1
1-Jan-99,31-Dec-99,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",1999,Cluster 9,16,13,1
1-Jan-00,31-Dec-00,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2000,Cluster 9,15,12,1
1-Jan-01,31-Dec-01,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2001,Cluster 9,18,14,1
1-Jan-02,31-Dec-02,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2002,Cluster 9,11,13,1
1-Jan-03,31-Dec-03,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2003,Cluster 9,8.5,12,1
1-Jan-04,31-Dec-04,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2004,Cluster 9,13,14,1
1-Jan-05,31-Dec-05,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2005,Cluster 9,13,13,1
1-Jan-06,31-Dec-06,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2006,Cluster 9,14,12,1
1-Jan-07,31-Dec-07,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2007,Cluster 9,16,13,1
1-Jan-08,31-Dec-08,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2008,Cluster 9,12,15,1
1-Jan-09,31-Dec-09,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2009,Cluster 9,9.9,14,1
1-Jan-10,31-Dec-10,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2010,Cluster 9,12,12,1
