"start_date","end_date","Cluster_tr2000","timeframe","CLUSTER_TR2000_nf","Pct_births_low_wt","Pct_births_teen","indc"
"01JAN2004","31DEC2004","Cluster 10",2004,10,0.06218,0.00518,1
"01JAN2005","31DEC2005","Cluster 10",2005,10,0.11111,0.00556,1
"01JAN2006","31DEC2006","Cluster 10",2006,10,0.05521,0.00000,1
"01JAN2007","31DEC2007","Cluster 10",2007,10,0.08434,0.00000,1
"01JAN2008","31DEC2008","Cluster 10",2008,10,0.06369,0.00637,1
"01JAN2009","31DEC2009","Cluster 10",2009,10,0.06977,0.00000,1
"01JAN2010","31DEC2010","Cluster 10",2010,10,0.04511,0.00752,1
"01JAN2011","31DEC2011","Cluster 10",2011,10,0.05369,0.00671,1
"01JAN1998","31DEC1998","Cluster 11",1998,11,0.06667,0.00000,1
"01JAN1999","31DEC1999","Cluster 11",1999,11,0.04848,0.00000,1
"01JAN2000","31DEC2000","Cluster 11",2000,11,0.06410,0.00000,1
"01JAN2001","31DEC2001","Cluster 11",2001,11,0.08197,0.02186,1
"01JAN2002","31DEC2002","Cluster 11",2002,11,0.06040,0.00000,1
"01JAN2003","31DEC2003","Cluster 11",2003,11,0.05291,0.00529,1
"01JAN2004","31DEC2004","Cluster 11",2004,11,0.04651,0.00000,1
"01JAN2005","31DEC2005","Cluster 11",2005,11,0.06509,0.00000,1
"01JAN2006","31DEC2006","Cluster 11",2006,11,0.07471,0.00000,1
"01JAN2007","31DEC2007","Cluster 11",2007,11,0.04762,0.00680,1
"01JAN2008","31DEC2008","Cluster 11",2008,11,0.09929,0.00709,1
"01JAN2009","31DEC2009","Cluster 11",2009,11,0.05625,0.00000,1
"01JAN2010","31DEC2010","Cluster 11",2010,11,0.03974,0.00000,1
"01JAN2011","31DEC2011","Cluster 11",2011,11,0.06548,0.00000,1
"01JAN1998","31DEC1998","Cluster 12",1998,12,0.02929,0.00114,1
"01JAN1999","31DEC1999","Cluster 12",1999,12,0.07140,0.00000,1
"01JAN2000","31DEC2000","Cluster 12",2000,12,0.07652,0.00000,1
"01JAN2001","31DEC2001","Cluster 12",2001,12,0.10515,0.00701,1
