"start_date","end_date","zip","timeframe","zip_nf","Pct_births_low_wt","Pct_births_teen","indc"
"01JAN2007","31DEC2007","ZIP 20332",2007,20332,6.1,3.1,1
"01JAN2008","31DEC2008","ZIP 20332",2008,20332,6.6,2.2,1
"01JAN2009","31DEC2009","ZIP 20332",2009,20332,7.8,5.6,1
"01JAN2010","31DEC2010","ZIP 20332",2010,20332,10,6.9,1
"01JAN2011","31DEC2011","ZIP 20332",2011,20332,4.8,3.2,1
"01JAN1998","31DEC1998","ZIP 20336",1998,20336,8.3,4.8,1
"01JAN1999","31DEC1999","ZIP 20336",1999,20336,8.7,1.7,1
"01JAN2000","31DEC2000","ZIP 20336",2000,20336,6.0,3.8,1
"01JAN2001","31DEC2001","ZIP 20336",2001,20336,7.9,2.4,1
"01JAN2002","31DEC2002","ZIP 20336",2002,20336,7.8,7.8,1
"01JAN2003","31DEC2003","ZIP 20336",2003,20336,6.7,9.6,1
"01JAN2004","31DEC2004","ZIP 20336",2004,20336,7.3,2.4,1
"01JAN2005","31DEC2005","ZIP 20336",2005,20336,8.5,6.6,1
"01JAN2006","31DEC2006","ZIP 20336",2006,20336,7.2,2.1,1
"01JAN2007","31DEC2007","ZIP 20336",2007,20336,6.1,3.1,1
"01JAN2008","31DEC2008","ZIP 20336",2008,20336,6.6,2.2,1
"01JAN2009","31DEC2009","ZIP 20336",2009,20336,7.8,5.6,1
"01JAN2010","31DEC2010","ZIP 20336",2010,20336,10,6.9,1
"01JAN2011","31DEC2011","ZIP 20336",2011,20336,4.8,3.2,1

