"start_date","end_date","psa2012","timeframe","psa2012_nf","Pct_births_low_wt","Pct_births_teen","indc"
"01JAN2010","31DEC2010","PSA 401",2010,401,4.7,3.4,1
"01JAN2011","31DEC2011","PSA 401",2011,401,9.0,5.1,1
"01JAN2012","31DEC2012","PSA 401",2012,401,3.9,3.3,1
"01JAN2013","31DEC2013","PSA 401",2013,401,8.5,4.2,1
"01JAN2014","31DEC2014","PSA 401",2014,401,5.9,1.2,1
"01JAN2015","31DEC2015","PSA 401",2015,401,3.2,2.2,1
"01JAN2016","31DEC2016","PSA 401",2016,401,8.0,0.6,1
"01JAN2003","31DEC2003","PSA 402",2003,402,15,5.8,1
"01JAN2004","31DEC2004","PSA 402",2004,402,8.9,12,1
"01JAN2005","31DEC2005","PSA 402",2005,402,8.0,8.5,1
"01JAN2006","31DEC2006","PSA 402",2006,402,8.3,8.3,1
"01JAN2007","31DEC2007","PSA 402",2007,402,4.1,7.0,1
"01JAN2008","31DEC2008","PSA 402",2008,402,6.1,10,1
"01JAN2009","31DEC2009","PSA 402",2009,402,10,8.4,1
"01JAN2010","31DEC2010","PSA 402",2010,402,9.3,8.5,1
"01JAN2011","31DEC2011","PSA 402",2011,402,5.0,6.9,1
"01JAN2012","31DEC2012","PSA 402",2012,402,8.5,3.6,1
"01JAN2013","31DEC2013","PSA 402",2013,402,8.6,5.6,1
"01JAN2014","31DEC2014","PSA 402",2014,402,7.9,4.7,1
"01JAN2015","31DEC2015","PSA 402",2015,402,7.6,3.4,1
"01JAN2016","31DEC2016","PSA 402",2016,402,7.9,4.8,1
"01JAN2003","31DEC2003","PSA 403",2003,403,11,14,1
"01JAN2004","31DEC2004","PSA 403",2004,403,12,10,1
"01JAN2005","31DEC2005","PSA 403",2005,403,11,14,1
"01JAN2006","31DEC2006","PSA 403",2006,403,9.2,13,1
"01JAN2007","31DEC2007","PSA 403",2007,403,13,13,1
"01JAN2008","31DEC2008","PSA 403",2008,403,8.2,12,1
"01JAN2009","31DEC2009","PSA 403",2009,403,8.3,7.3,1
"01JAN2010","31DEC2010","PSA 403",2010,403,8.3,11,1
"01JAN2011","31DEC2011","PSA 403",2011,403,7.9,6.1,1
"01JAN2012","31DEC2012","PSA 403",2012,403,7.1,7.4,1
"01JAN2013","31DEC2013","PSA 403",2013,403,10,5.9,1
"01JAN2014","31DEC2014","PSA 403",2014,403,8.8,7.8,1
"01JAN2015","31DEC2015","PSA 403",2015,403,7.6,6.0,1
"01JAN2016","31DEC2016","PSA 403",2016,403,6.8,6.0,1
"01JAN2003","31DEC2003","PSA 404",2003,404,8.3,11,1
"01JAN2004","31DEC2004","PSA 404",2004,404,6.4,11,1
"01JAN2005","31DEC2005","PSA 404",2005,404,8.8,11,1
"01JAN2006","31DEC2006","PSA 404",2006,404,11,12,1
"01JAN2007","31DEC2007","PSA 404",2007,404,11,9.6,1
"01JAN2008","31DEC2008","PSA 404",2008,404,7.3,10,1
"01JAN2009","31DEC2009","PSA 404",2009,404,7.5,7.5,1
"01JAN2010","31DEC2010","PSA 404",2010,404,8.1,8.1,1
"01JAN2011","31DEC2011","PSA 404",2011,404,4.5,4.9,1
"01JAN2012","31DEC2012","PSA 404",2012,404,11,5.3,1
"01JAN2013","31DEC2013","PSA 404",2013,404,5.2,6.5,1
"01JAN2014","31DEC2014","PSA 404",2014,404,6.9,4.4,1
"01JAN2015","31DEC2015","PSA 404",2015,404,6.4,5.9,1
