"timeframe","zip","zip_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
"2012-16","ZIP 20004",20004,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",104,"X","X"
"2012-16","ZIP 20005",20005,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",115,"X","X"
"2012-16","ZIP 20006",20006,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",165,"X","X"
"2012-16","ZIP 20007",20007,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",6.0,"X","X"
"2012-16","ZIP 20008",20008,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",5.1,"X","X"
"2012-16","ZIP 20009",20009,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",64,"X","X"
"2012-16","ZIP 20010",20010,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",55,"X","X"
"2012-16","ZIP 20011",20011,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",25,"X","X"
"2012-16","ZIP 20012",20012,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",7.1,"X","X"
"2012-16","ZIP 20015",20015,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",15,"X","X"
"2012-16","ZIP 20016",20016,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",4.3,"X","X"
"2012-16","ZIP 20017",20017,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",30,"X","X"
"2012-16","ZIP 20018",20018,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",20,"X","X"
"2012-16","ZIP 20019",20019,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",1.8,"X","X"
"2012-16","ZIP 20020",20020,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",1.5,"X","X"
"2012-16","ZIP 20024",20024,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",68,"X","X"
"2012-16","ZIP 20032",20032,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",-2.3,"X","X"
"2012-16","ZIP 20036",20036,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",-21,"X","X"
