"timeframe","county","county_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
"2000 to 2012-16","Fairfax County, VA",51059,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",4.4684,".","."
"2000 to 2012-16","Fauquier County, VA",51061,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",9.7178,".","."
"2000 to 2012-16","Loudoun County, VA",51107,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",12.0824,".","."
"2000 to 2012-16","Prince William County, VA",51153,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",10.0402,".","."
"2000 to 2012-16","Rappahannock County, VA",51157,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",4.9155,".","."
"2000 to 2012-16","Spotsylvania County, VA",51177,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",6.1135,".","."
"2000 to 2012-16","Stafford County, VA",51179,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",11.4383,".","."
"2000 to 2012-16","Warren County, VA",51187,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",5.4811,".","."
"2000 to 2012-16","Alexandria city, VA",51510,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",13.9391,".","."
"2000 to 2012-16","Fairfax city, VA",51600,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",10.1633,".","."
"2000 to 2012-16","Falls Church city, VA",51610,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",31.4584,".","."
"2000 to 2012-16","Fredericksburg city, VA",51630,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",-0.0395,".","."
"2000 to 2012-16","Manassas city, VA",51683,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",-12.6943,".","."
"2000 to 2012-16","Manassas Park city, VA",51685,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",4.9213,".","."
"2000 to 2012-16","Jefferson County, WV",54037,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",14.9148,".","."
"1990 to 2000","District of Columbia, DC",11001,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",11.8720,".","."
"1990 to 2000","Calvert County, MD",24009,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",7.7464,".","."
"1990 to 2000","Charles County, MD",24017,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",5.2290,".","."
"1990 to 2000","Frederick County, MD",24021,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",15.3188,".","."
"1990 to 2000","Montgomery County, MD",24031,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",7.3470,".","."
"1990 to 2000","Prince George's County, MD",24033,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",1.0435,".","."
"1990 to 2000","Arlington County, VA",51013,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",12.2776,".","."
"1990 to 2000","Clarke County, VA",51043,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",10.8611,".","."
"1990 to 2000","Culpeper County, VA",51047,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",6.2059,".","."
"1990 to 2000","Fairfax County, VA",51059,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",12.4561,".","."
"1990 to 2000","Fauquier County, VA",51061,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",8.8880,".","."
"1990 to 2000","Loudoun County, VA",51107,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",25.0612,".","."
"1990 to 2000","Prince William County, VA",51153,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",7.5866,".","."
"1990 to 2000","Rappahannock County, VA",51157,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",4.2277,".","."
"1990 to 2000","Spotsylvania County, VA",51177,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",9.7020,".","."
"1990 to 2000","Stafford County, VA",51179,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",14.9889,".","."
"1990 to 2000","Warren County, VA",51187,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",12.2013,".","."
"1990 to 2000","Alexandria city, VA",51510,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",9.8977,".","."
"1990 to 2000","Fairfax city, VA",51600,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",10.7351,".","."
"1990 to 2000","Falls Church city, VA",51610,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",15.9956,".","."
"1990 to 2000","Fredericksburg city, VA",51630,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",14.3730,".","."
"1990 to 2000","Manassas city, VA",51683,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",6.8281,".","."
"1990 to 2000","Manassas Park city, VA",51685,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",16.3687,".","."
"1990 to 2000","Jefferson County, WV",54037,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",11.3289,".","."
2000,"District of Columbia, DC",11001,"01JAN2000","31DEC2000",".",".",".",".",".",".",".",".",".",46576.0,80510.0
2001,"District of Columbia, DC",11001,"01JAN2001","31DEC2001",".",".",".",".",".",".",".",".",".",46340.0,76321.5
2002,"District of Columbia, DC",11001,"01JAN2002","31DEC2002",".",".",".",".",".",".",".",".",".",47061.5,78160.5
2003,"District of Columbia, DC",11001,"01JAN2003","31DEC2003",".",".",".",".",".",".",".",".",".",47341.0,84894.5
