"timeframe","anc2012","anc2012_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
2000,"ANC 3D","3D","01JAN2000","31DEC2000",8.4,2.7,0.9,340940,".",".",".",".","X","X","X"
2000,"ANC 3E","3E","01JAN2000","31DEC2000",4.3,1.2,4.8,268870,".",".",".",".","X","X","X"
2000,"ANC 3F","3F","01JAN2000","31DEC2000",6.6,3.6,5.6,272075,".",".",".",".","X","X","X"
2000,"ANC 3G","3G","01JAN2000","31DEC2000",4.3,0.9,11,256536,".",".",".",".","X","X","X"
2000,"ANC 4A","4A","01JAN2000","31DEC2000",12,15,11,144749,".",".",".",".","X","X","X"
2000,"ANC 4B","4B","01JAN2000","31DEC2000",11,15,9.0,101866,".",".",".",".","X","X","X"
2000,"ANC 4C","4C","01JAN2000","31DEC2000",15,21,14,95509,".",".",".",".","X","X","X"
2000,"ANC 4D","4D","01JAN2000","31DEC2000",15,21,14,82177,".",".",".",".","X","X","X"
2000,"ANC 5A","5A","01JAN2000","31DEC2000",11,9.4,7.2,94385,".",".",".",".","X","X","X"
2000,"ANC 5B","5B","01JAN2000","31DEC2000",11,11,10,105504,".",".",".",".","X","X","X"
2000,"ANC 5C","5C","01JAN2000","31DEC2000",20,28,22,88594,".",".",".",".","X","X","X"
2000,"ANC 5D","5D","01JAN2000","31DEC2000",31,45,22,56543,".",".",".",".","X","X","X"
2000,"ANC 5E","5E","01JAN2000","31DEC2000",23,31,19,72546,".",".",".",".","X","X","X"
2000,"ANC 6A","6A","01JAN2000","31DEC2000",20,32,19,92416,".",".",".",".","X","X","X"
2000,"ANC 6B","6B","01JAN2000","31DEC2000",17,36,21,136149,".",".",".",".","X","X","X"
2000,"ANC 6C","6C","01JAN2000","31DEC2000",15,19,26,125560,".",".",".",".","X","X","X"
2000,"ANC 6D","6D","01JAN2000","31DEC2000",27,50,27,70315,".",".",".",".","X","X","X"
2000,"ANC 6E","6E","01JAN2000","31DEC2000",30,33,34,53820,".",".",".",".","X","X","X"
2000,"ANC 7B","7B","01JAN2000","31DEC2000",15,22,10,93621,".",".",".",".","X","X","X"
2000,"ANC 7C","7C","01JAN2000","31DEC2000",29,40,23,59798,".",".",".",".","X","X","X"
2000,"ANC 7D","7D","01JAN2000","31DEC2000",25,34,21,62487,".",".",".",".","X","X","X"
2000,"ANC 7E","7E","01JAN2000","31DEC2000",28,42,19,64942,".",".",".",".","X","X","X"
2000,"ANC 7F","7F","01JAN2000","31DEC2000",31,46,17,53580,".",".",".",".","X","X","X"
2000,"ANC 8A","8A","01JAN2000","31DEC2000",27,38,18,62359,".",".",".",".","X","X","X"
2000,"ANC 8B","8B","01JAN2000","31DEC2000",43,56,36,42535,".",".",".",".","X","X","X"
2000,"ANC 8C","8C","01JAN2000","31DEC2000",39,55,20,48787,".",".",".",".","X","X","X"
2000,"ANC 8D","8D","01JAN2000","31DEC2000",26,29,25,67851,".",".",".",".","X","X","X"
2000,"ANC 8E","8E","01JAN2000","31DEC2000",43,53,16,45532,".",".",".",".","X","X","X"
1990,"ANC 1A","1A","01JAN1990","31DEC1990",24,29,29,60326,".",".",".",".","X","X","X"
1990,"ANC 1B","1B","01JAN1990","31DEC1990",30,40,36,58563,".",".",".",".","X","X","X"
1990,"ANC 1C","1C","01JAN1990","31DEC1990",11,23,15,100777,".",".",".",".","X","X","X"
1990,"ANC 1D","1D","01JAN1990","31DEC1990",14,22,20,89482,".",".",".",".","X","X","X"
1990,"ANC 2A","2A","01JAN1990","31DEC1990",21,8.3,9.2,245781,".",".",".",".","X","X","X"
1990,"ANC 2B","2B","01JAN1990","31DEC1990",12,19,17,136186,".",".",".",".","X","X","X"
1990,"ANC 2C","2C","01JAN1990","31DEC1990",43,23,65,45304,".",".",".",".","X","X","X"
1990,"ANC 2D","2D","01JAN1990","31DEC1990",4.9,4.8,1.5,287790,".",".",".",".","X","X","X"
1990,"ANC 2E","2E","01JAN1990","31DEC1990",15,9.4,11,289908,".",".",".",".","X","X","X"
1990,"ANC 2F","2F","01JAN1990","31DEC1990",24,25,33,73259,".",".",".",".","X","X","X"
1990,"ANC 3B","3B","01JAN1990","31DEC1990",12,8.2,2.8,177920,".",".",".",".","X","X","X"
1990,"ANC 3C","3C","01JAN1990","31DEC1990",4.5,0.6,5.4,263284,".",".",".",".","X","X","X"
1990,"ANC 3D","3D","01JAN1990","31DEC1990",7.2,4.0,2.9,302207,".",".",".",".","X","X","X"
1990,"ANC 3E","3E","01JAN1990","31DEC1990",6.7,2.1,5.6,203292,".",".",".",".","X","X","X"
1990,"ANC 3F","3F","01JAN1990","31DEC1990",4.5,0.0,4.2,244937,".",".",".",".","X","X","X"
1990,"ANC 3G","3G","01JAN1990","31DEC1990",3.9,0.9,7.2,211921,".",".",".",".","X","X","X"
1990,"ANC 4A","4A","01JAN1990","31DEC1990",7.7,8.0,10,145587,".",".",".",".","X","X","X"
1990,"ANC 4B","4B","01JAN1990","31DEC1990",6.7,7.6,9.4,102565,".",".",".",".","X","X","X"
1990,"ANC 4C","4C","01JAN1990","31DEC1990",10,10,15,86871,".",".",".",".","X","X","X"
1990,"ANC 4D","4D","01JAN1990","31DEC1990",11,15,15,82973,".",".",".",".","X","X","X"
1990,"ANC 5A","5A","01JAN1990","31DEC1990",7.1,5.0,6.9,102290,".",".",".",".","X","X","X"
1990,"ANC 5B","5B","01JAN1990","31DEC1990",8.3,8.6,10,106311,".",".",".",".","X","X","X"
1990,"ANC 5C","5C","01JAN1990","31DEC1990",16,19,23,85031,".",".",".",".","X","X","X"
1990,"ANC 5D","5D","01JAN1990","31DEC1990",23,31,25,57934,".",".",".",".","X","X","X"
1990,"ANC 5E","5E","01JAN1990","31DEC1990",17,20,20,76427,".",".",".",".","X","X","X"
1990,"ANC 6A","6A","01JAN1990","31DEC1990",16,20,24,89606,".",".",".",".","X","X","X"
1990,"ANC 6B","6B","01JAN1990","31DEC1990",14,27,18,121789,".",".",".",".","X","X","X"
1990,"ANC 6C","6C","01JAN1990","31DEC1990",15,14,26,113578,".",".",".",".","X","X","X"
1990,"ANC 6D","6D","01JAN1990","31DEC1990",24,50,21,92410,".",".",".",".","X","X","X"
1990,"ANC 6E","6E","01JAN1990","31DEC1990",32,35,50,56094,".",".",".",".","X","X","X"
1990,"ANC 7B","7B","01JAN1990","31DEC1990",11,17,12,92257,".",".",".",".","X","X","X"
1990,"ANC 7C","7C","01JAN1990","31DEC1990",28,41,25,60545,".",".",".",".","X","X","X"
1990,"ANC 7D","7D","01JAN1990","31DEC1990",17,25,15,68069,".",".",".",".","X","X","X"
1990,"ANC 7E","7E","01JAN1990","31DEC1990",20,30,20,69997,".",".",".",".","X","X","X"
1990,"ANC 7F","7F","01JAN1990","31DEC1990",24,39,19,58274,".",".",".",".","X","X","X"
1990,"ANC 8A","8A","01JAN1990","31DEC1990",21,31,23,66810,".",".",".",".","X","X","X"
1990,"ANC 8B","8B","01JAN1990","31DEC1990",32,43,28,50341,".",".",".",".","X","X","X"
1990,"ANC 8C","8C","01JAN1990","31DEC1990",27,41,17,57538,".",".",".",".","X","X","X"
1990,"ANC 8D","8D","01JAN1990","31DEC1990",19,24,25,61947,".",".",".",".","X","X","X"
1990,"ANC 8E","8E","01JAN1990","31DEC1990",36,50,32,46742,".",".",".",".","X","X","X"
"2014-18","ANC 1A","1A","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",74,"X","X"
"2014-18","ANC 1B","1B","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",158,"X","X"
"2014-18","ANC 1C","1C","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",57,"X","X"
"2014-18","ANC 1D","1D","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",59,"X","X"
"2014-18","ANC 2A","2A","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",-27,"X","X"
"2014-18","ANC 2B","2B","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",22,"X","X"
"2014-18","ANC 2C","2C","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",110,"X","X"
"2014-18","ANC 2D","2D","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",0.9,"X","X"
"2014-18","ANC 2E","2E","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",-0.1,"X","X"
"2014-18","ANC 2F","2F","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",112,"X","X"
"2014-18","ANC 3B","3B","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",42,"X","X"
"2014-18","ANC 3C","3C","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",8.9,"X","X"
"2014-18","ANC 3D","3D","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",6.6,"X","X"
"2014-18","ANC 3E","3E","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",7.0,"X","X"
"2014-18","ANC 3F","3F","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",-3.0,"X","X"
"2014-18","ANC 3G","3G","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",8.7,"X","X"
"2014-18","ANC 4A","4A","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",-0.2,"X","X"
"2014-18","ANC 4B","4B","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",27,"X","X"
"2014-18","ANC 4C","4C","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",46,"X","X"
"2014-18","ANC 4D","4D","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",38,"X","X"
"2014-18","ANC 5A","5A","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",10,"X","X"
"2014-18","ANC 5B","5B","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",37,"X","X"
"2014-18","ANC 5C","5C","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",29,"X","X"
"2014-18","ANC 5D","5D","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",22,"X","X"
"2014-18","ANC 5E","5E","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",93,"X","X"
"2014-18","ANC 6A","6A","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",96,"X","X"
"2014-18","ANC 6B","6B","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",52,"X","X"
"2014-18","ANC 6C","6C","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",64,"X","X"
"2014-18","ANC 6D","6D","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",110,"X","X"
"2014-18","ANC 6E","6E","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",137,"X","X"
"2014-18","ANC 7B","7B","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",-1.5,"X","X"
"2014-18","ANC 7C","7C","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",11,"X","X"
"2014-18","ANC 7D","7D","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",9.4,"X","X"
"2014-18","ANC 7E","7E","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",7.6,"X","X"
"2014-18","ANC 7F","7F","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",7.5,"X","X"
"2014-18","ANC 8A","8A","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",6.2,"X","X"
"2014-18","ANC 8B","8B","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",9.0,"X","X"
"2014-18","ANC 8C","8C","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",21,"X","X"
"2014-18","ANC 8D","8D","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",-6.2,"X","X"
"2014-18","ANC 8E","8E","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",28,"X","X"
2000,"ANC 1A","1A","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",11,"X","X"
2000,"ANC 1B","1B","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",8.1,"X","X"
2000,"ANC 1C","1C","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",44,"X","X"
2000,"ANC 1D","1D","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",17,"X","X"
2000,"ANC 2A","2A","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",18,"X","X"
2000,"ANC 2B","2B","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",29,"X","X"
2000,"ANC 2C","2C","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",178,"X","X"
2000,"ANC 2D","2D","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",25,"X","X"
2000,"ANC 2E","2E","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",21,"X","X"
2000,"ANC 2F","2F","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",20,"X","X"
2000,"ANC 3B","3B","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-4.1,"X","X"
2000,"ANC 3C","3C","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",4.4,"X","X"
2000,"ANC 3D","3D","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",13,"X","X"
2000,"ANC 3E","3E","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",32,"X","X"
2000,"ANC 3F","3F","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",11,"X","X"
2000,"ANC 3G","3G","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",21,"X","X"
2000,"ANC 4A","4A","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-0.6,"X","X"
2000,"ANC 4B","4B","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-0.7,"X","X"
2000,"ANC 4C","4C","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",9.9,"X","X"
2000,"ANC 4D","4D","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-1.0,"X","X"
2000,"ANC 5A","5A","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-7.7,"X","X"
2000,"ANC 5B","5B","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-0.8,"X","X"
2000,"ANC 5C","5C","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",4.2,"X","X"
2000,"ANC 5D","5D","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-2.4,"X","X"
2000,"ANC 5E","5E","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-5.1,"X","X"
2000,"ANC 6A","6A","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",3.1,"X","X"
2000,"ANC 6B","6B","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",12,"X","X"
2000,"ANC 6C","6C","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",11,"X","X"
2000,"ANC 6D","6D","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-24,"X","X"
2000,"ANC 6E","6E","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-4.1,"X","X"
2000,"ANC 7B","7B","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",1.5,"X","X"
2000,"ANC 7C","7C","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-1.2,"X","X"
2000,"ANC 7D","7D","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-8.2,"X","X"
2000,"ANC 7E","7E","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-7.2,"X","X"
2000,"ANC 7F","7F","01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-8.1,"X","X"
