"timeframe","cluster2017","cluster2017_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
1990,"Cluster 02","Cluster 2","01JAN1990","31DEC1990",24,33,30,64870,".",".",".",".","X","X","X"
1990,"Cluster 03","Cluster 3","01JAN1990","31DEC1990",23,26,33,68144,".",".",".",".","X","X","X"
1990,"Cluster 04","Cluster 4","01JAN1990","31DEC1990",15,9.5,10,286583,".",".",".",".","X","X","X"
1990,"Cluster 05","Cluster 5","01JAN1990","31DEC1990",21,9.4,8.6,257606,".",".",".",".","X","X","X"
1990,"Cluster 06","Cluster 6","01JAN1990","31DEC1990",12,19,18,132508,".",".",".",".","X","X","X"
1990,"Cluster 07","Cluster 7","01JAN1990","31DEC1990",26,29,41,68198,".",".",".",".","X","X","X"
1990,"Cluster 08","Cluster 8","01JAN1990","31DEC1990",33,34,50,51071,".",".",".",".","X","X","X"
1990,"Cluster 09","Cluster 9","01JAN1990","31DEC1990",20,47,11,100149,".",".",".",".","X","X","X"
1990,"Cluster 10","Cluster 10","01JAN1990","31DEC1990",3.9,0.9,7.2,211848,".",".",".",".","X","X","X"
1990,"Cluster 11","Cluster 11","01JAN1990","31DEC1990",6.5,1.9,5.3,200484,".",".",".",".","X","X","X"
1990,"Cluster 12","Cluster 12","01JAN1990","31DEC1990",4.5,0.0,4.2,247906,".",".",".",".","X","X","X"
1990,"Cluster 13","Cluster 13","01JAN1990","31DEC1990",6.8,3.8,2.8,310849,".",".",".",".","X","X","X"
1990,"Cluster 14","Cluster 14","01JAN1990","31DEC1990",9.9,6.2,3.1,221332,".",".",".",".","X","X","X"
1990,"Cluster 15","Cluster 15","01JAN1990","31DEC1990",4.1,0.2,6.0,271751,".",".",".",".","X","X","X"
1990,"Cluster 16","Cluster 16","01JAN1990","31DEC1990",2.4,0.0,3.8,205793,".",".",".",".","X","X","X"
1990,"Cluster 17","Cluster 17","01JAN1990","31DEC1990",7.7,7.9,10,101704,".",".",".",".","X","X","X"
1990,"Cluster 18","Cluster 18","01JAN1990","31DEC1990",11,13,15,93693,".",".",".",".","X","X","X"
1990,"Cluster 19","Cluster 19","01JAN1990","31DEC1990",6.8,6.3,8.8,94922,".",".",".",".","X","X","X"
1990,"Cluster 20","Cluster 20","01JAN1990","31DEC1990",5.7,4.1,7.2,111421,".",".",".",".","X","X","X"
1990,"Cluster 21","Cluster 21","01JAN1990","31DEC1990",17,20,20,77304,".",".",".",".","X","X","X"
1990,"Cluster 22","Cluster 22","01JAN1990","31DEC1990",14,20,16,87508,".",".",".",".","X","X","X"
1990,"Cluster 23","Cluster 23","01JAN1990","31DEC1990",23,30,24,59010,".",".",".",".","X","X","X"
1990,"Cluster 24","Cluster 24","01JAN1990","31DEC1990",13,6.4,26,96960,".",".",".",".","X","X","X"
1990,"Cluster 25","Cluster 25","01JAN1990","31DEC1990",15,19,22,92811,".",".",".",".","X","X","X"
1990,"Cluster 26","Cluster 26","01JAN1990","31DEC1990",13,24,17,121810,".",".",".",".","X","X","X"
1990,"Cluster 27","Cluster 27","01JAN1990","31DEC1990",54,63,64,39308,".",".",".",".","X","X","X"
1990,"Cluster 28","Cluster 28","01JAN1990","31DEC1990",33,44,33,51336,".",".",".",".","X","X","X"
1990,"Cluster 29","Cluster 29","01JAN1990","31DEC1990",9.8,5.5,21,98030,".",".",".",".","X","X","X"
1990,"Cluster 30","Cluster 30","01JAN1990","31DEC1990",25,37,16,56549,".",".",".",".","X","X","X"
1990,"Cluster 31","Cluster 31","01JAN1990","31DEC1990",27,39,24,60704,".",".",".",".","X","X","X"
1990,"Cluster 32","Cluster 32","01JAN1990","31DEC1990",18,29,20,65082,".",".",".",".","X","X","X"
1990,"Cluster 33","Cluster 33","01JAN1990","31DEC1990",24,37,20,62883,".",".",".",".","X","X","X"
1990,"Cluster 34","Cluster 34","01JAN1990","31DEC1990",11,16,15,88371,".",".",".",".","X","X","X"
1990,"Cluster 35","Cluster 35","01JAN1990","31DEC1990",11,16,12,93651,".",".",".",".","X","X","X"
1990,"Cluster 36","Cluster 36","01JAN1990","31DEC1990",35,48,28,47976,".",".",".",".","X","X","X"
1990,"Cluster 37","Cluster 37","01JAN1990","31DEC1990",34,49,19,48195,".",".",".",".","X","X","X"
1990,"Cluster 38","Cluster 38","01JAN1990","31DEC1990",34,45,39,47960,".",".",".",".","X","X","X"
1990,"Cluster 39","Cluster 39","01JAN1990","31DEC1990",27,39,19,54617,".",".",".",".","X","X","X"
1990,"Cluster 40","Cluster 40","01JAN1990","31DEC1990",0.0,"i","i",188446,".",".",".",".","X","X","X"
1990,"Cluster 41","Cluster 41","01JAN1990","31DEC1990",6.3,4.2,7.7,184091,".",".",".",".","X","X","X"
1990,"Cluster 43","Cluster 43","01JAN1990","31DEC1990",37,54,62,38891,".",".",".",".","X","X","X"
1990,"Cluster 44","Cluster 44","01JAN1990","31DEC1990",10,13,6.6,73589,".",".",".",".","X","X","X"
1990,"Cluster 46","Cluster 46","01JAN1990","31DEC1990","i","i","i",".",".",".",".",".","X","X","X"
"2014-18","Cluster 01","Cluster 1","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",36,"X","X"
"2014-18","Cluster 02","Cluster 2","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",72,"X","X"
"2014-18","Cluster 03","Cluster 3","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",203,"X","X"
"2014-18","Cluster 04","Cluster 4","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",0.8,"X","X"
"2014-18","Cluster 05","Cluster 5","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",-25,"X","X"
"2014-18","Cluster 06","Cluster 6","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",21,"X","X"
"2014-18","Cluster 07","Cluster 7","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",131,"X","X"
"2014-18","Cluster 08","Cluster 8","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",133,"X","X"
"2014-18","Cluster 09","Cluster 9","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",77,"X","X"
"2014-18","Cluster 10","Cluster 10","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",8.7,"X","X"
"2014-18","Cluster 11","Cluster 11","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",7.4,"X","X"
"2014-18","Cluster 12","Cluster 12","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",-6.8,"X","X"
"2014-18","Cluster 13","Cluster 13","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",2.6,"X","X"
"2014-18","Cluster 14","Cluster 14","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",24,"X","X"
"2014-18","Cluster 15","Cluster 15","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",14,"X","X"
"2014-18","Cluster 16","Cluster 16","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",5.9,"X","X"
"2014-18","Cluster 17","Cluster 17","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",8.9,"X","X"
"2014-18","Cluster 18","Cluster 18","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",40,"X","X"
"2014-18","Cluster 19","Cluster 19","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",21,"X","X"
"2014-18","Cluster 20","Cluster 20","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",22,"X","X"
"2014-18","Cluster 21","Cluster 21","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",91,"X","X"
