"timeframe","county","TotPop","TotPop_m","county_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear"
1990,"Jefferson County, WV",35953,".",54037,"01JAN1990","31DEC1990",26,11,1.7,7.2,91,1.2,0.3,19,".",".",".",".",".",".",".",".","X","X","X"
2010,"District of Columbia, DC","X",".",11001,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",5.2,-12,-1.8
2010,"Calvert County, MD","X",".",24009,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",19,5.4,46
2010,"Charles County, MD","X",".",24017,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",22,12,47
2010,"Frederick County, MD","X",".",24021,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",19,9.7,38
2010,"Montgomery County, MD","X",".",24031,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",11,5.8,23
2010,"Prince George's County, MD","X",".",24033,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",7.8,-3.9,32
2010,"Arlington County, VA","X",".",51013,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",9.8,5.6,5.0
2010,"Clarke County, VA","X",".",51043,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",11,8.8,23
2010,"Culpeper County, VA","X",".",51047,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",36,38,38
2010,"Fairfax County, VA","X",".",51059,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",11,6.8,40
2010,"Fauquier County, VA","X",".",51061,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",18,11,42
2010,"Loudoun County, VA","X",".",51107,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",85,90,119
2010,"Prince William County, VA","X",".",51153,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",43,36,110
2010,"Rappahannock County, VA","X",".",51157,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",4.4,-8.3,45
2010,"Spotsylvania County, VA","X",".",51177,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",36,27,67
2010,"Stafford County, VA","X",".",51179,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",39,28,76
2010,"Warren County, VA","X",".",51187,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",20,13,23
2010,"Alexandria city, VA","X",".",51510,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",8.8,11,12
2010,"Fairfax city, VA","X",".",51600,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",4.9,6.4,14
2010,"Falls Church city, VA","X",".",51610,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",19,25,1.2
2010,"Fredericksburg city, VA","X",".",51630,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",23,35,-6.7
2010,"Manassas city, VA","X",".",51683,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",9.2,4.2,42
2010,"Manassas Park city, VA","X",".",51685,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",42,31,73
2010,"Jefferson County, WV","X",".",54037,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",27,27,34
2000,"District of Columbia, DC","X",".",11001,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-5.7,-2.0,-9.8
2000,"Calvert County, MD","X",".",24009,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",46,52,47
2000,"Charles County, MD","X",".",24017,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",19,17,42
2000,"Frederick County, MD","X",".",24021,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",30,36,32
2000,"Montgomery County, MD","X",".",24031,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",15,24,26
2000,"Prince George's County, MD","X",".",24033,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",11,21,26
2000,"Arlington County, VA","X",".",51013,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",11,20,-11
2000,"Clarke County, VA","X",".",51043,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",4.8,6.6,11
2000,"Culpeper County, VA","X",".",51047,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",23,18,22
2000,"Fairfax County, VA","X",".",51059,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",18,23,43
2000,"Fauquier County, VA","X",".",51061,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",13,13,33
2000,"Loudoun County, VA","X",".",51107,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",97,117,81
2000,"Prince William County, VA","X",".",51153,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",30,30,102
2000,"Rappahannock County, VA","X",".",51157,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",5.8,6.6,11
2000,"Spotsylvania County, VA","X",".",51177,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",57,54,77
2000,"Stafford County, VA","X",".",51179,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",51,62,49
2000,"Warren County, VA","X",".",51187,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",21,26,15
2000,"Alexandria city, VA","X",".",51510,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",15,27,0.1
2000,"Fairfax city, VA","X",".",51600,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",8.4,16,28
2000,"Falls Church city, VA","X",".",51610,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",14,39,-5.5
2000,"Fredericksburg city, VA","X",".",51630,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",2.3,-1.8,-1.3
2000,"Manassas city, VA","X",".",51683,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",28,35,41
2000,"Manassas Park city, VA","X",".",51685,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",48,44,74
2000,"Jefferson County, WV","X",".",54037,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",18,8.0,16

