"timeframe","psa2012","TotPop","TotPop_m","psa2012_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
2010,"PSA 108",15034,".",108,"01JAN2010","31DEC2010",13,7.9,".",56,35,5.4,2.6,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 201",14205,".",201,"01JAN2010","31DEC2010",22,21,".",9.9,78,6.3,5.6,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 202",11906,".",202,"01JAN2010","31DEC2010",19,14,".",5.3,80,6.8,7.8,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 203",17655,".",203,"01JAN2010","31DEC2010",9.5,15,".",7.3,76,7.4,9.3,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 204",24498,".",204,"01JAN2010","31DEC2010",8.7,12,".",4.5,79,8.1,8.1,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 205",18910,".",205,"01JAN2010","31DEC2010",16,15,".",4.6,80,7.2,7.7,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 206",16142,".",206,"01JAN2010","31DEC2010",7.4,10,".",4.0,81,6.4,8.8,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 207",17101,".",207,"01JAN2010","31DEC2010",1.6,8.0,".",7.2,74,5.8,12,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 208",17738,".",208,"01JAN2010","31DEC2010",3.4,9.1,".",8.4,71,9.3,11,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 301",11073,".",301,"01JAN2010","31DEC2010",5.9,6.5,".",15,67,9.9,7.3,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 302",13007,".",302,"01JAN2010","31DEC2010",17,7.8,".",40,26,30,4.3,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 303",15621,".",303,"01JAN2010","31DEC2010",7.0,7.7,".",12,68,13,6.6,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 304",12110,".",304,"01JAN2010","31DEC2010",15,6.3,".",45,29,22,4.3,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 305",6173,".",305,"01JAN2010","31DEC2010",5.1,3.6,".",39,46,7.5,6.1,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 306",4358,".",306,"01JAN2010","31DEC2010",7.8,4.1,".",78,13,6.1,2.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 307",12122,".",307,"01JAN2010","31DEC2010",7.9,6.6,".",20,52,20,6.9,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 308",6523,".",308,"01JAN2010","31DEC2010",17,10.0,".",57,26,7.8,9.0,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 401",10869,".",401,"01JAN2010","31DEC2010",17,17,".",63,23,11,2.5,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 402",11721,".",402,"01JAN2010","31DEC2010",21,15,".",71,5.6,21,1.5,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 403",13462,".",403,"01JAN2010","31DEC2010",22,13,".",62,9.7,26,1.7,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 404",11835,".",404,"01JAN2010","31DEC2010",18,12,".",48,20,29,2.3,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 405",18404,".",405,"01JAN2010","31DEC2010",14,22,".",70,20,7.8,1.9,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 406",6802,".",406,"01JAN2010","31DEC2010",18,22,".",84,5.1,9.6,0.7,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 407",13121,".",407,"01JAN2010","31DEC2010",20,13,".",68,10,19,1.6,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 408",10468,".",408,"01JAN2010","31DEC2010",12,8.4,".",19,50,25,5.6,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 409",10201,".",409,"01JAN2010","31DEC2010",16,7.1,".",39,24,33,3.6,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 501",8618,".",501,"01JAN2010","31DEC2010",14,7.2,".",63,28,5.6,3.4,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 502",11170,".",502,"01JAN2010","31DEC2010",17,12,".",76,14,7.9,1.7,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 503",9991,".",503,"01JAN2010","31DEC2010",17,22,".",87,5.5,5.6,1.3,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 504",6919,".",504,"01JAN2010","31DEC2010",17,15,".",67,23,7.7,2.4,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 505",5755,".",505,"01JAN2010","31DEC2010",24,14,".",92,2.3,4.4,0.6,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 506",7710,".",506,"01JAN2010","31DEC2010",19,11,".",80,12,5.6,1.5,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 507",11538,".",507,"01JAN2010","31DEC2010",24,10,".",92,4.7,2.9,0.5,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 601",7536,".",601,"01JAN2010","31DEC2010",29,11,".",97,0.8,1.7,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 602",9647,".",602,"01JAN2010","31DEC2010",26,12,".",96,0.8,2.9,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 603",10997,".",603,"01JAN2010","31DEC2010",26,12,".",97,0.5,2.5,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
