"timeframe","Geo2010","TotPop","geo2010_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","ucounty","indc"
"2012-16","DC Tract 69",2220,11001006900,"01JAN2011","31DEC2015",14,9.6,6.9,22,70,4.9,1.8,7.2,3.5,3.2,2.8,4.2,5.3,2.9,1.4,9.0,".",".",".","District of Columbia",1
"2012-16","DC Tract 70",2834,11001007000,"01JAN2011","31DEC2015",11,9.1,8.6,11,67,12,1.9,0.0,3.8,2.3,3.7,3.4,4.1,5.0,1.8,9.6,".",".",".","District of Columbia",1
"2012-16","DC Tract 71",3349,11001007100,"01JAN2011","31DEC2015",24,8.0,4.1,55,38,3.5,2.0,61,6.9,2.8,1.8,10,3.0,2.8,1.5,15,".",".",".","District of Columbia",1
"2012-16","DC Tract 72",4664,11001007200,"01JAN2011","31DEC2015",6.5,6.6,5.1,27,62,5.3,3.6,49,2.4,2.1,2.2,4.9,5.3,1.9,1.6,23,".",".",".","District of Columbia",1
"2012-16","DC Tract 73.01",4680,11001007301,"01JAN2011","31DEC2015",37,0.4,5.6,23,58,11,2.0,6.9,6.2,1.1,2.5,6.1,5.7,4.1,1.4,4.9,".",".",".","District of Columbia",1
"2012-16","DC Tract 73.04",3427,11001007304,"01JAN2011","31DEC2015",22,13,1.1,93,4.3,0.6,0.0,87,5.2,2.8,1.2,6.5,2.0,1.0,0.5,8.3,".",".",".","District of Columbia",1
"2012-16","DC Tract 74.01",2314,11001007401,"01JAN2011","31DEC2015",35,6.7,1.0,98,0.0,1.7,0.5,86,5.2,2.6,0.7,2.4,0.5,1.2,0.7,0.7,".",".",".","District of Columbia",1
"2012-16","DC Tract 74.03",3192,11001007403,"01JAN2011","31DEC2015",33,4.7,4.6,96,1.4,2.3,0.0,67,6.5,2.3,4.8,4.8,1.8,3.4,0.5,14,".",".",".","District of Columbia",1
"2012-16","DC Tract 74.04",3785,11001007404,"01JAN2011","31DEC2015",37,6.1,1.9,93,0.7,4.1,0.2,83,6.4,2.7,1.8,6.7,1.0,6.6,0.4,12,".",".",".","District of Columbia",1
"2012-16","DC Tract 74.06",2954,11001007406,"01JAN2011","31DEC2015",38,3.1,3.8,91,0.1,7.4,0.4,75,5.9,1.7,3.4,13,0.2,8.0,0.8,7.8,".",".",".","District of Columbia",1
