"timeframe","Anc2012","TotPop","TotPop_m","anc2012_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
2010,"ANC 8E",15284,".","8E","01JAN2010","31DEC2010",32,8.7,".",98,0.7,1.2,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 1A",22977,".","1A","01JAN2000","31DEC2000",26,8.7,34,58,5.6,34,2.4,51,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 1B",20478,".","1B","01JAN2000","31DEC2000",18,8.1,21,70,10.0,18,1.6,61,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 1C",16462,".","1C","01JAN2000","31DEC2000",9.4,5.2,25,20,57,17,5.9,29,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 1D",11794,".","1D","01JAN2000","31DEC2000",15,7.9,38,27,35,31,6.3,25,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 2A",12579,".","2A","01JAN2000","31DEC2000",1.2,11,20,5.8,75,5.6,13,14,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 2B",18019,".","2B","01JAN2000","31DEC2000",4.9,7.0,23,13,68,10,7.9,34,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 2C",1949,".","2C","01JAN2000","31DEC2000",8.1,15,33,33,32,5.9,29,18,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 2D",2521,".","2D","01JAN2000","31DEC2000",5.6,13,22,3.2,82,7.6,7.3,3.6,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 2E",15035,".","2E","01JAN2000","31DEC2000",5.9,8.1,13,3.9,86,3.8,6.0,9.8,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 2F",13305,".","2F","01JAN2000","31DEC2000",13,8.5,28,37,33,24,5.1,34,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 3B",9531,".","3B","01JAN2000","31DEC2000",6.8,12,24,5.0,79,8.2,7.4,23,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 3C",18126,".","3C","01JAN2000","31DEC2000",8.9,15,19,6.8,79,7.2,5.9,13,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 3D",20624,".","3D","01JAN2000","31DEC2000",12,12,20,5.3,80,6.6,6.4,13,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 3E",8749,".","3E","01JAN2000","31DEC2000",19,16,18,4.5,84,5.1,5.3,7.4,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 3F",12059,".","3F","01JAN2000","31DEC2000",11,14,20,7.6,78,6.8,7.1,12,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 3G",14940,".","3G","01JAN2000","31DEC2000",18,22,13,11,78,4.5,5.3,11,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 4A",16371,".","4A","01JAN2000","31DEC2000",18,17,23,69,14,15,1.4,38,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 4B",18227,".","4B","01JAN2000","31DEC2000",18,20,11,87,5.7,5.8,0.7,44,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 4C",19272,".","4C","01JAN2000","31DEC2000",23,15,23,72,4.9,21,1.2,45,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 4D",12477,".","4D","01JAN2000","31DEC2000",23,17,16,87,1.1,11,0.4,53,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 5A",14791,".","5A","01JAN2000","31DEC2000",15,17,8.0,78,16,3.9,1.5,50,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 5B",10471,".","5B","01JAN2000","31DEC2000",20,19,5.8,82,12,4.1,1.2,40,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 5C",13740,".","5C","01JAN2000","31DEC2000",22,23,2.8,96,1.6,1.9,0.5,55,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 5D",13903,".","5D","01JAN2000","31DEC2000",25,13,3.5,92,5.1,1.3,0.9,73,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 5E",18699,".","5E","01JAN2000","31DEC2000",23,13,5.7,91,4.2,3.8,0.2,63,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 6A",15769,".","6A","01JAN2000","31DEC2000",20,12,4.6,76,20,2.1,1.4,60,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 6B",18743,".","6B","01JAN2000","31DEC2000",15,9.7,6.0,46,48,3.6,2.4,48,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 6C",11212,".","6C","01JAN2000","31DEC2000",14,9.9,6.1,52,42,3.8,1.9,46,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 6D",13564,".","6D","01JAN2000","31DEC2000",17,15,9.0,71,22,3.7,2.0,75,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 6E",11623,".","6E","01JAN2000","31DEC2000",27,13,12,83,6.6,5.4,5.0,69,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 7B",14835,".","7B","01JAN2000","31DEC2000",22,15,1.7,94,3.8,1.3,0.2,61,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 7C",13830,".","7C","01JAN2000","31DEC2000",29,14,0.7,98,0.7,0.6,0.1,69,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 7D",13493,".","7D","01JAN2000","31DEC2000",27,14,1.7,98,0.6,0.8,0.4,66,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 7E",13658,".","7E","01JAN2000","31DEC2000",29,15,1.1,99,0.4,0.3,0.4,62,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 7F",14195,".","7F","01JAN2000","31DEC2000",28,11,1.7,96,1.6,1.3,0.4,75,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 8A",13797,".","8A","01JAN2000","31DEC2000",29,9.5,2.0,98,1.1,0.6,0.4,69,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 8B",14117,".","8B","01JAN2000","31DEC2000",38,6.6,0.9,98,0.7,0.5,0.4,76,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 8C",13661,".","8C","01JAN2000","31DEC2000",34,6.4,1.7,97,2.2,0.6,0.1,72,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 8D",17236,".","8D","01JAN2000","31DEC2000",33,5.1,3.9,77,17,3.2,2.0,50,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ANC 8E",15227,".","8E","01JAN2000","31DEC2000",41,6.2,1.3,98,0.2,0.9,0.4,77,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ANC 1A",23141,".","1A","01JAN1990","31DEC1990",24,12,25,73,3.9,21,1.5,58,".",".",".",".",".",".",".",".","X","X","X",1
