"timeframe","cluster2017","TotPop","TotPop_m","cluster2017_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
"2010-14","Cluster 19",14576,889,"Cluster 19","01JAN2010","31DEC2014",20,15,19,69,12,16,1.8,45,2.4,1.6,3.8,3.6,2.2,3.9,1.0,8.2,"X","X","X",1
"2010-14","Cluster 20",12629,781,"Cluster 20","01JAN2010","31DEC2014",18,17,11,73,14,12,0.7,41,2.7,1.8,2.7,3.4,2.6,3.8,0.6,11,"X","X","X",1
"2010-14","Cluster 21",22558,1053,"Cluster 21","01JAN2010","31DEC2014",15,11,10,61,26,8.1,1.8,54,1.6,1.3,1.9,3.2,2.0,1.9,0.6,6.4,"X","X","X",1
"2010-14","Cluster 22",14145,802,"Cluster 22","01JAN2010","31DEC2014",23,14,9.9,75,15,6.9,2.0,54,2.6,1.7,2.9,4.5,2.3,2.9,1.2,6.7,"X","X","X",1
"2010-14","Cluster 23",15950,1017,"Cluster 23","01JAN2010","31DEC2014",19,10.0,9.6,79,9.7,5.3,2.6,71,2.3,1.3,2.6,3.6,1.5,2.4,1.4,6.6,"X","X","X",1
"2010-14","Cluster 24",7178,615,"Cluster 24","01JAN2010","31DEC2014",16,23,7.7,86,8.1,4.3,0.3,45,3.6,2.6,3.1,4.8,3.2,2.8,0.4,16,"X","X","X",1
"2010-14","Cluster 25",26976,962,"Cluster 25","01JAN2010","31DEC2014",14,8.5,6.4,38,50,4.9,3.7,34,1.3,0.9,1.1,2.9,2.1,1.0,1.0,6.0,"X","X","X",1
"2010-14","Cluster 26",28999,943,"Cluster 26","01JAN2010","31DEC2014",13,9.2,7.5,33,57,5.0,2.1,22,1.3,0.9,1.1,2.0,1.4,1.1,0.6,5.8,"X","X","X",1
"2010-14","Cluster 27",4247,525,"Cluster 27","01JAN2010","31DEC2014",7.5,7.8,6.8,24,66,3.2,4.0,43,2.2,2.3,2.0,6.3,6.9,1.7,1.9,23,"X","X","X",1
"2010-14","Cluster 28",5269,540,"Cluster 28","01JAN2010","31DEC2014",36,6.9,2.6,98,1.6,0.3,0.1,82,4.2,1.9,2.2,2.5,1.4,0.5,0.4,5.1,"X","X","X",1
"2010-14","Cluster 29",2043,261,"Cluster 29","01JAN2010","31DEC2014",27,12,0.5,97,0.1,0.5,0.0,70,5.9,3.3,0.8,18,0.2,0.6,0.8,5.4,"X","X","X",1
"2010-14","Cluster 30",6080,619,"Cluster 30","01JAN2010","31DEC2014",27,12,3.8,94,0.5,4.2,0.1,85,5.1,2.9,2.3,2.3,0.5,4.0,0.4,6.3,"X","X","X",1
"2010-14","Cluster 31",12875,1003,"Cluster 31","01JAN2010","31DEC2014",27,14,6.9,96,1.2,1.8,0.3,75,2.9,2.0,3.6,2.1,0.7,1.3,0.3,7.9,"X","X","X",1
"2010-14","Cluster 32",12095,854,"Cluster 32","01JAN2010","31DEC2014",22,13,2.3,97,0.3,2.1,0.0,79,3.3,1.7,1.1,1.1,0.3,1.6,0.3,8.8,"X","X","X",1
