"timeframe","cluster2017","cluster2017_nf","start_date","end_date","PctHshldPhone","PctHshldCar","PctBroadband","PctNocomputer","Pctcellularonly","Pctnointernet","PctHshldPhone_m","PctHshldCar_m","PctBroadband_m","PctNocomputer_m","Pctcellularonly_m","Pctnointernet_m","indc"
2000,"Cluster 03",03,"01JAN2000","31DEC2000",96,48,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 04",04,"01JAN2000","31DEC2000",100,81,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 05",05,"01JAN2000","31DEC2000",100,44,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 06",06,"01JAN2000","31DEC2000",99,47,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 07",07,"01JAN2000","31DEC2000",97,49,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 08",08,"01JAN2000","31DEC2000",96,42,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 09",09,"01JAN2000","31DEC2000",98,60,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 10",10,"01JAN2000","31DEC2000",99,84,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 11",11,"01JAN2000","31DEC2000",100,85,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 12",12,"01JAN2000","31DEC2000",99,75,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 13",13,"01JAN2000","31DEC2000",100,92,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 14",14,"01JAN2000","31DEC2000",100,78,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 15",15,"01JAN2000","31DEC2000",99,74,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 16",16,"01JAN2000","31DEC2000",99,90,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 17",17,"01JAN2000","31DEC2000",98,73,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 18",18,"01JAN2000","31DEC2000",98,67,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 19",19,"01JAN2000","31DEC2000",99,77,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 20",20,"01JAN2000","31DEC2000",99,83,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 21",21,"01JAN2000","31DEC2000",96,59,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 22",22,"01JAN2000","31DEC2000",99,72,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 23",23,"01JAN2000","31DEC2000",94,50,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 24",24,"01JAN2000","31DEC2000",99,70,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 25",25,"01JAN2000","31DEC2000",97,68,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 26",26,"01JAN2000","31DEC2000",98,71,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 27",27,"01JAN2000","31DEC2000",90,14,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 28",28,"01JAN2000","31DEC2000",96,49,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 29",29,"01JAN2000","31DEC2000",96,65,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 30",30,"01JAN2000","31DEC2000",98,57,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 31",31,"01JAN2000","31DEC2000",94,58,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 32",32,"01JAN2000","31DEC2000",96,58,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 33",33,"01JAN2000","31DEC2000",95,55,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 34",34,"01JAN2000","31DEC2000",97,69,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 35",35,"01JAN2000","31DEC2000",97,69,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 36",36,"01JAN2000","31DEC2000",95,46,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 37",37,"01JAN2000","31DEC2000",97,44,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 38",38,"01JAN2000","31DEC2000",96,45,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 39",39,"01JAN2000","31DEC2000",94,54,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 40",40,"01JAN2000","31DEC2000",100,100,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 41",41,"01JAN2000","31DEC2000",99,79,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 43",43,"01JAN2000","31DEC2000",97,31,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 44",44,"01JAN2000","31DEC2000",98,90,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 46",46,"01JAN2000","31DEC2000","i","i","i","I","I","I",".",".",".",".",".",".",1

