"timeframe","Zip","zip_nf","start_date","end_date","Pct25andOverWoutHS","Pct25andOverWoutHS_m","aud","aud_charter","aud_dcps","charter_present","dcps_present","school_present"
2013,"ZIP 20005",20005,"01JAN2013","31DEC2013",".",".",436,147,289,1,1,2
2001,"ZIP 20006",20006,"01JAN2001","31DEC2001",".",".",0,0,0,0,0,0
2002,"ZIP 20006",20006,"01JAN2002","31DEC2002",".",".",0,0,0,0,0,0
2003,"ZIP 20006",20006,"01JAN2003","31DEC2003",".",".",0,0,0,0,0,0
2004,"ZIP 20006",20006,"01JAN2004","31DEC2004",".",".",0,0,0,0,0,0
2005,"ZIP 20006",20006,"01JAN2005","31DEC2005",".",".",114,114,0,1,0,1
2006,"ZIP 20006",20006,"01JAN2006","31DEC2006",".",".",124,124,0,1,0,1
2007,"ZIP 20006",20006,"01JAN2007","31DEC2007",".",".",0,0,0,0,0,0
2008,"ZIP 20006",20006,"01JAN2008","31DEC2008",".",".",0,0,0,0,0,0
2009,"ZIP 20006",20006,"01JAN2009","31DEC2009",".",".",0,0,0,0,0,0
2010,"ZIP 20006",20006,"01JAN2010","31DEC2010",".",".",0,0,0,0,0,0
2011,"ZIP 20006",20006,"01JAN2011","31DEC2011",".",".",0,0,0,0,0,0
2012,"ZIP 20006",20006,"01JAN2012","31DEC2012",".",".",0,0,0,0,0,0
2013,"ZIP 20006",20006,"01JAN2013","31DEC2013",".",".",0,0,0,0,0,0
2001,"ZIP 20007",20007,"01JAN2001","31DEC2001",".",".",1228,0,1228,0,4,4
2002,"ZIP 20007",20007,"01JAN2002","31DEC2002",".",".",1297,0,1297,0,4,4
2003,"ZIP 20007",20007,"01JAN2003","31DEC2003",".",".",1262,0,1262,0,4,4
2004,"ZIP 20007",20007,"01JAN2004","31DEC2004",".",".",1213,0,1213,0,4,4
2005,"ZIP 20007",20007,"01JAN2005","31DEC2005",".",".",777,0,777,0,3,3
2006,"ZIP 20007",20007,"01JAN2006","31DEC2006",".",".",930,53,877,1,3,4
2007,"ZIP 20007",20007,"01JAN2007","31DEC2007",".",".",984,86,898,1,3,4
2008,"ZIP 20007",20007,"01JAN2008","31DEC2008",".",".",1267,0,1267,0,4,4
2009,"ZIP 20007",20007,"01JAN2009","31DEC2009",".",".",1430,0,1430,0,4,4
2010,"ZIP 20007",20007,"01JAN2010","31DEC2010",".",".",1624,0,1624,0,4,4
2011,"ZIP 20007",20007,"01JAN2011","31DEC2011",".",".",1584,0,1584,0,4,4
2012,"ZIP 20007",20007,"01JAN2012","31DEC2012",".",".",1635,0,1635,0,4,4
2013,"ZIP 20007",20007,"01JAN2013","31DEC2013",".",".",1627,0,1627,0,4,4
2001,"ZIP 20008",20008,"01JAN2001","31DEC2001",".",".",1398,0,1398,0,4,4
2002,"ZIP 20008",20008,"01JAN2002","31DEC2002",".",".",1451,0,1451,0,4,4
2003,"ZIP 20008",20008,"01JAN2003","31DEC2003",".",".",1444,0,1444,0,4,4
2004,"ZIP 20008",20008,"01JAN2004","31DEC2004",".",".",1443,0,1443,0,4,4
2005,"ZIP 20008",20008,"01JAN2005","31DEC2005",".",".",1443,0,1443,0,4,4
2006,"ZIP 20008",20008,"01JAN2006","31DEC2006",".",".",1470,0,1470,0,4,4
2007,"ZIP 20008",20008,"01JAN2007","31DEC2007",".",".",1396,0,1396,0,4,4
2008,"ZIP 20008",20008,"01JAN2008","31DEC2008",".",".",1414,0,1414,0,4,4
2009,"ZIP 20008",20008,"01JAN2009","31DEC2009",".",".",1434,0,1434,0,4,4
2010,"ZIP 20008",20008,"01JAN2010","31DEC2010",".",".",1554,0,1554,0,4,4
2011,"ZIP 20008",20008,"01JAN2011","31DEC2011",".",".",1625,0,1625,0,4,4
2012,"ZIP 20008",20008,"01JAN2012","31DEC2012",".",".",1638,0,1638,0,4,4
2013,"ZIP 20008",20008,"01JAN2013","31DEC2013",".",".",1719,0,1719,0,4,4
2001,"ZIP 20009",20009,"01JAN2001","31DEC2001",".",".",4311,1802,2509,7,6,13
