"timeframe","anc2012","anc2012_nf","start_date","end_date","Pct25andOverWoutHS","Pct25andOverWoutHS_m","aud","aud_charter","aud_dcps","charter_present","dcps_present","school_present"
2014,"ANC 1B","1B","01JAN2014","31DEC2014","X","X",5980,3675,2305,7.0,6.0,13
2001,"ANC 1C","1C","01JAN2001","31DEC2001","X","X",1913,729,1184,1.0,3.0,4.0
2002,"ANC 1C","1C","01JAN2002","31DEC2002","X","X",1972,787,1185,1.0,3.0,4.0
2003,"ANC 1C","1C","01JAN2003","31DEC2003","X","X",2140,1068,1072,2.0,3.0,5.0
2004,"ANC 1C","1C","01JAN2004","31DEC2004","X","X",649,0.0,649,0.0,2.0,2.0
2005,"ANC 1C","1C","01JAN2005","31DEC2005","X","X",548,0.0,548,0.0,2.0,2.0
2006,"ANC 1C","1C","01JAN2006","31DEC2006","X","X",666,123,543,2.0,2.0,4.0
2007,"ANC 1C","1C","01JAN2007","31DEC2007","X","X",757,158,599,2.0,2.0,4.0
2008,"ANC 1C","1C","01JAN2008","31DEC2008","X","X",813,187,626,2.0,2.0,4.0
2009,"ANC 1C","1C","01JAN2009","31DEC2009","X","X",1156,226,930,1.0,3.0,4.0
2010,"ANC 1C","1C","01JAN2010","31DEC2010","X","X",1034,0.0,1034,1.0,3.0,4.0
2011,"ANC 1C","1C","01JAN2011","31DEC2011","X","X",1469,395,1074,1.0,3.0,4.0
2012,"ANC 1C","1C","01JAN2012","31DEC2012","X","X",1520,436,1084,1.0,3.0,4.0
2013,"ANC 1C","1C","01JAN2013","31DEC2013","X","X",1576,478,1098,1.0,3.0,4.0
2014,"ANC 1C","1C","01JAN2014","31DEC2014","X","X",1599,492,1107,1.0,3.0,4.0
2001,"ANC 1D","1D","01JAN2001","31DEC2001","X","X",524,0.0,524,0.0,1.0,1.0
2002,"ANC 1D","1D","01JAN2002","31DEC2002","X","X",696,208,488,1.0,2.0,3.0
2003,"ANC 1D","1D","01JAN2003","31DEC2003","X","X",780,247,533,1.0,2.0,3.0
2004,"ANC 1D","1D","01JAN2004","31DEC2004","X","X",744,249,495,1.0,2.0,3.0
2005,"ANC 1D","1D","01JAN2005","31DEC2005","X","X",699,251,448,1.0,2.0,3.0
2006,"ANC 1D","1D","01JAN2006","31DEC2006","X","X",680,250,430,3.0,2.0,5.0
2007,"ANC 1D","1D","01JAN2007","31DEC2007","X","X",701,251,450,3.0,1.0,4.0
2008,"ANC 1D","1D","01JAN2008","31DEC2008","X","X",607,148,459,2.0,1.0,3.0
2009,"ANC 1D","1D","01JAN2009","31DEC2009","X","X",624,181,443,2.0,1.0,3.0
2010,"ANC 1D","1D","01JAN2010","31DEC2010","X","X",991,533,458,2.0,1.0,3.0
2011,"ANC 1D","1D","01JAN2011","31DEC2011","X","X",854,391,463,2.0,1.0,3.0
2012,"ANC 1D","1D","01JAN2012","31DEC2012","X","X",815,342,473,3.0,1.0,4.0
2013,"ANC 1D","1D","01JAN2013","31DEC2013","X","X",901,411,490,3.0,1.0,4.0
2014,"ANC 1D","1D","01JAN2014","31DEC2014","X","X",1303,795,508,4.0,1.0,5.0
2001,"ANC 2A","2A","01JAN2001","31DEC2001","X","X",652,0.0,652,0.0,2.0,2.0
2002,"ANC 2A","2A","01JAN2002","31DEC2002","X","X",654,0.0,654,0.0,2.0,2.0
2003,"ANC 2A","2A","01JAN2003","31DEC2003","X","X",606,0.0,606,0.0,2.0,2.0
2004,"ANC 2A","2A","01JAN2004","31DEC2004","X","X",604,0.0,604,0.0,2.0,2.0
2005,"ANC 2A","2A","01JAN2005","31DEC2005","X","X",589,0.0,589,0.0,2.0,2.0
2006,"ANC 2A","2A","01JAN2006","31DEC2006","X","X",583,0.0,583,0.0,2.0,2.0
2007,"ANC 2A","2A","01JAN2007","31DEC2007","X","X",231,0.0,231,0.0,1.0,1.0
2008,"ANC 2A","2A","01JAN2008","31DEC2008","X","X",0.0,0.0,0.0,0.0,0.0,0.0
2009,"ANC 2A","2A","01JAN2009","31DEC2009","X","X",458,0.0,458,0.0,1.0,1.0
2010,"ANC 2A","2A","01JAN2010","31DEC2010","X","X",468,0.0,468,0.0,1.0,1.0
2011,"ANC 2A","2A","01JAN2011","31DEC2011","X","X",527,0.0,527,0.0,1.0,1.0
2012,"ANC 2A","2A","01JAN2012","31DEC2012","X","X",548,0.0,548,0.0,1.0,1.0
2013,"ANC 2A","2A","01JAN2013","31DEC2013","X","X",585,0.0,585,0.0,1.0,1.0
2014,"ANC 2A","2A","01JAN2014","31DEC2014","X","X",590,0.0,590,0.0,1.0,1.0
2001,"ANC 2B","2B","01JAN2001","31DEC2001","X","X",703,101,602,1.0,2.0,3.0
2002,"ANC 2B","2B","01JAN2002","31DEC2002","X","X",688,117,571,1.0,2.0,3.0
2003,"ANC 2B","2B","01JAN2003","31DEC2003","X","X",675,120,555,1.0,2.0,3.0
2004,"ANC 2B","2B","01JAN2004","31DEC2004","X","X",645,118,527,1.0,2.0,3.0
2005,"ANC 2B","2B","01JAN2005","31DEC2005","X","X",720,226,494,2.0,2.0,4.0
2006,"ANC 2B","2B","01JAN2006","31DEC2006","X","X",745,250,495,2.0,2.0,4.0
2007,"ANC 2B","2B","01JAN2007","31DEC2007","X","X",453,125,328,1.0,2.0,3.0
2008,"ANC 2B","2B","01JAN2008","31DEC2008","X","X",644,245,399,2.0,2.0,4.0
2009,"ANC 2B","2B","01JAN2009","31DEC2009","X","X",606,236,370,2.0,2.0,4.0
2010,"ANC 2B","2B","01JAN2010","31DEC2010","X","X",533,145,388,1.0,2.0,3.0
2011,"ANC 2B","2B","01JAN2011","31DEC2011","X","X",512,122,390,1.0,2.0,3.0
2012,"ANC 2B","2B","01JAN2012","31DEC2012","X","X",378,0.0,378,0.0,2.0,2.0
2013,"ANC 2B","2B","01JAN2013","31DEC2013","X","X",445,0.0,445,0.0,2.0,2.0
2014,"ANC 2B","2B","01JAN2014","31DEC2014","X","X",580,0.0,580,0.0,2.0,2.0
2001,"ANC 2C","2C","01JAN2001","31DEC2001","X","X",164,164,0.0,1.0,0.0,1.0
2002,"ANC 2C","2C","01JAN2002","31DEC2002","X","X",118,118,0.0,1.0,0.0,1.0
2003,"ANC 2C","2C","01JAN2003","31DEC2003","X","X",136,136,0.0,1.0,0.0,1.0
2004,"ANC 2C","2C","01JAN2004","31DEC2004","X","X",146,146,0.0,1.0,0.0,1.0
2005,"ANC 2C","2C","01JAN2005","31DEC2005","X","X",150,150,0.0,1.0,0.0,1.0
2006,"ANC 2C","2C","01JAN2006","31DEC2006","X","X",179,179,0.0,1.0,0.0,1.0
2007,"ANC 2C","2C","01JAN2007","31DEC2007","X","X",0.0,0.0,0.0,0.0,0.0,0.0
2008,"ANC 2C","2C","01JAN2008","31DEC2008","X","X",0.0,0.0,0.0,0.0,0.0,0.0
2009,"ANC 2C","2C","01JAN2009","31DEC2009","X","X",0.0,0.0,0.0,0.0,0.0,0.0
2010,"ANC 2C","2C","01JAN2010","31DEC2010","X","X",0.0,0.0,0.0,0.0,0.0,0.0
2011,"ANC 2C","2C","01JAN2011","31DEC2011","X","X",0.0,0.0,0.0,0.0,0.0,0.0
2012,"ANC 2C","2C","01JAN2012","31DEC2012","X","X",443,443,0.0,1.0,0.0,1.0
2013,"ANC 2C","2C","01JAN2013","31DEC2013","X","X",510,510,0.0,1.0,0.0,1.0
2014,"ANC 2C","2C","01JAN2014","31DEC2014","X","X",551,551,0.0,1.0,0.0,1.0
2001,"ANC 2D","2D","01JAN2001","31DEC2001","X","X",0.0,0.0,0.0,0.0,0.0,0.0
2002,"ANC 2D","2D","01JAN2002","31DEC2002","X","X",0.0,0.0,0.0,0.0,0.0,0.0
2003,"ANC 2D","2D","01JAN2003","31DEC2003","X","X",0.0,0.0,0.0,0.0,0.0,0.0
2004,"ANC 2D","2D","01JAN2004","31DEC2004","X","X",0.0,0.0,0.0,0.0,0.0,0.0
2005,"ANC 2D","2D","01JAN2005","31DEC2005","X","X",0.0,0.0,0.0,0.0,0.0,0.0
2006,"ANC 2D","2D","01JAN2006","31DEC2006","X","X",0.0,0.0,0.0,0.0,0.0,0.0
2007,"ANC 2D","2D","01JAN2007","31DEC2007","X","X",0.0,0.0,0.0,0.0,0.0,0.0
2008,"ANC 2D","2D","01JAN2008","31DEC2008","X","X",0.0,0.0,0.0,0.0,0.0,0.0
2009,"ANC 2D","2D","01JAN2009","31DEC2009","X","X",0.0,0.0,0.0,0.0,0.0,0.0
